FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ
S.12.01.02.01;R0010;C0020;0.0
S.12.01.02.01;R0010;C0030;0.0
S.12.01.02.01;R0010;C0040;
S.12.01.02.01;R0010;C0050;
S.12.01.02.01;R0010;C0060;0.0
S.12.01.02.01;R0010;C0070;
S.12.01.02.01;R0010;C0080;
S.12.01.02.01;R0010;C0090;0.0
S.12.01.02.01;R0010;C0100;0.0
S.12.01.02.01;R0010;C0150;0.0
S.12.01.02.01;R0010;C0160;0.0
S.12.01.02.01;R0010;C0170;
S.12.01.02.01;R0010;C0180;
S.12.01.02.01;R0010;C0190;0.0
S.12.01.02.01;R0010;C0200;0.0
S.12.01.02.01;R0010;C0210;0.0
S.12.01.02.01;R0020;C0020;0.0
S.12.01.02.01;R0020;C0030;0.0
S.12.01.02.01;R0020;C0040;
S.12.01.02.01;R0020;C0050;
S.12.01.02.01;R0020;C0060;0.0
S.12.01.02.01;R0020;C0070;
S.12.01.02.01;R0020;C0080;
S.12.01.02.01;R0020;C0090;0.0
S.12.01.02.01;R0020;C0100;0.0
S.12.01.02.01;R0020;C0150;0.0
S.12.01.02.01;R0020;C0160;0.0
S.12.01.02.01;R0020;C0170;
S.12.01.02.01;R0020;C0180;
S.12.01.02.01;R0020;C0190;0.0
S.12.01.02.01;R0020;C0200;0.0
S.12.01.02.01;R0020;C0210;0.0
S.12.01.02.01;R0030;C0020;0.0
S.12.01.02.01;R0030;C0030;
S.12.01.02.01;R0030;C0040;0.0
S.12.01.02.01;R0030;C0050;0.0
S.12.01.02.01;R0030;C0060;
S.12.01.02.01;R0030;C0070;0.0
S.12.01.02.01;R0030;C0080;0.0
S.12.01.02.01;R0030;C0090;139924.0
S.12.01.02.01;R0030;C0100;0.0
S.12.01.02.01;R0030;C0150;139924.0
S.12.01.02.01;R0030;C0160;
S.12.01.02.01;R0030;C0170;0.0
S.12.01.02.01;R0030;C0180;0.0
S.12.01.02.01;R0030;C0190;0.0
S.12.01.02.01;R0030;C0200;0.0
S.12.01.02.01;R0030;C0210;0.0
S.12.01.02.01;R0080;C0020;0.0
S.12.01.02.01;R0080;C0030;
S.12.01.02.01;R0080;C0040;0.0
S.12.01.02.01;R0080;C0050;0.0
S.12.01.02.01;R0080;C0060;
S.12.01.02.01;R0080;C0070;0.0
S.12.01.02.01;R0080;C0080;0.0
S.12.01.02.01;R0080;C0090;48901.0
S.12.01.02.01;R0080;C0100;0.0
S.12.01.02.01;R0080;C0150;48901.0
S.12.01.02.01;R0080;C0160;
S.12.01.02.01;R0080;C0170;0.0
S.12.01.02.01;R0080;C0180;0.0
S.12.01.02.01;R0080;C0190;0.0
S.12.01.02.01;R0080;C0200;0.0
S.12.01.02.01;R0080;C0210;0.0
S.12.01.02.01;R0090;C0020;0.0
S.12.01.02.01;R0090;C0030;
S.12.01.02.01;R0090;C0040;0.0
S.12.01.02.01;R0090;C0050;0.0
S.12.01.02.01;R0090;C0060;
S.12.01.02.01;R0090;C0070;0.0
S.12.01.02.01;R0090;C0080;0.0
S.12.01.02.01;R0090;C0090;91023.0
S.12.01.02.01;R0090;C0100;0.0
S.12.01.02.01;R0090;C0150;91023.0
S.12.01.02.01;R0090;C0160;
S.12.01.02.01;R0090;C0170;0.0
S.12.01.02.01;R0090;C0180;0.0
S.12.01.02.01;R0090;C0190;0.0
S.12.01.02.01;R0090;C0200;0.0
S.12.01.02.01;R0090;C0210;0.0
S.12.01.02.01;R0100;C0020;0.0
S.12.01.02.01;R0100;C0030;0.0
S.12.01.02.01;R0100;C0040;
S.12.01.02.01;R0100;C0050;
S.12.01.02.01;R0100;C0060;0.0
S.12.01.02.01;R0100;C0070;
S.12.01.02.01;R0100;C0080;
S.12.01.02.01;R0100;C0090;855.0
S.12.01.02.01;R0100;C0100;0.0
S.12.01.02.01;R0100;C0150;855.0
S.12.01.02.01;R0100;C0160;
S.12.01.02.01;R0100;C0170;
S.12.01.02.01;R0100;C0180;
S.12.01.02.01;R0100;C0190;0.0
S.12.01.02.01;R0100;C0200;0.0
S.12.01.02.01;R0100;C0210;0.0
S.12.01.02.01;R0110;C0020;0.0
S.12.01.02.01;R0110;C0030;0.0
S.12.01.02.01;R0110;C0040;
S.12.01.02.01;R0110;C0050;
S.12.01.02.01;R0110;C0060;0.0
S.12.01.02.01;R0110;C0070;0.0
S.12.01.02.01;R0110;C0080;0.0
S.12.01.02.01;R0110;C0090;0.0
S.12.01.02.01;R0110;C0100;0.0
S.12.01.02.01;R0110;C0150;0.0
S.12.01.02.01;R0110;C0160;
S.12.01.02.01;R0110;C0170;
S.12.01.02.01;R0110;C0180;
S.12.01.02.01;R0110;C0190;0.0
S.12.01.02.01;R0110;C0200;0.0
S.12.01.02.01;R0110;C0210;0.0
S.12.01.02.01;R0120;C0020;0.0
S.12.01.02.01;R0120;C0030;
S.12.01.02.01;R0120;C0040;0.0
S.12.01.02.01;R0120;C0050;0.0
S.12.01.02.01;R0120;C0060;
S.12.01.02.01;R0120;C0070;0.0
S.12.01.02.01;R0120;C0080;0.0
S.12.01.02.01;R0120;C0090;0.0
S.12.01.02.01;R0120;C0100;0.0
S.12.01.02.01;R0120;C0150;0.0
S.12.01.02.01;R0120;C0160;
S.12.01.02.01;R0120;C0170;0.0
S.12.01.02.01;R0120;C0180;0.0
S.12.01.02.01;R0120;C0190;0.0
S.12.01.02.01;R0120;C0200;0.0
S.12.01.02.01;R0120;C0210;0.0
S.12.01.02.01;R0130;C0020;0.0
S.12.01.02.01;R0130;C0030;0.0
S.12.01.02.01;R0130;C0040;
S.12.01.02.01;R0130;C0050;
S.12.01.02.01;R0130;C0060;0.0
S.12.01.02.01;R0130;C0070;
S.12.01.02.01;R0130;C0080;
S.12.01.02.01;R0130;C0090;0.0
S.12.01.02.01;R0130;C0100;0.0
