DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2017;1;1;1;0;0;86
31.12.2017;1;1;2;0;0;86
31.12.2017;1;1;3;0;0;86
31.12.2017;1;1;4;0;0;86
31.12.2017;1;1;5;0;0;86
31.12.2017;1;1;6;0;0;86
31.12.2017;1;1;7;0;0;86
31.12.2017;1;1;8;0;0;86
31.12.2017;1;1;9;0;0;86
31.12.2017;1;1;10;0;0;86
31.12.2017;1;1;11;0;0;86
31.12.2017;1;1;12;1;7;86
31.12.2017;1;1;13;1;7;86
31.12.2017;1;1;14;0;0;86
31.12.2017;1;1;15;1;41;86
31.12.2017;1;1;16;0;0;86
31.12.2017;1;1;18;1;14;86
31.12.2017;1;1;19;0;0;86
31.12.2017;1;1;20;1;1;86
31.12.2017;1;1;21;0;0;86
31.12.2017;1;1;22;1;10;86
31.12.2017;1;1;23;1;3;86
31.12.2017;1;1;24;0;0;86
31.12.2017;1;1;25;0;0;86
31.12.2017;1;1;26;0;0;86
31.12.2017;1;1;27;1;1;86
31.12.2017;1;1;28;1;3;86
31.12.2017;1;1;29;1;6;86
31.12.2017;1;1;30;1;20;86
31.12.2017;1;1;31;1;2;86
31.12.2017;1;1;32;1;374;86
31.12.2017;1;1;33;0;0;86
31.12.2017;1;1;34;0;0;86
31.12.2017;1;1;35;1;11;86
31.12.2017;1;1;36;0;0;86
31.12.2017;1;1;37;1;2;86
31.12.2017;1;1;38;0;0;86
31.12.2017;1;1;39;1;3;86
31.12.2017;1;1;40;1;1;86
31.12.2017;1;1;41;1;7;86
31.12.2017;1;1;42;1;1;86
31.12.2017;1;1;44;1;6;86
31.12.2017;1;1;45;1;8;86
31.12.2017;1;1;46;0;0;86
31.12.2017;1;1;48;1;27;86
31.12.2017;1;1;49;1;6;86
31.12.2017;1;1;50;1;5;86
31.12.2017;1;1;51;1;1;86
31.12.2017;1;1;52;1;2;86
31.12.2017;1;1;53;1;1;86
31.12.2017;1;1;54;0;0;86
31.12.2017;1;1;55;1;19;86
31.12.2017;1;1;56;1;3;86
31.12.2017;1;1;57;1;3;86
31.12.2017;1;1;58;1;2;86
31.12.2017;1;1;59;1;1;86
31.12.2017;1;1;60;1;3;86
31.12.2017;1;1;61;0;0;86
31.12.2017;1;1;62;1;25;86
31.12.2017;1;1;63;1;1;86
31.12.2017;1;1;64;0;0;86
31.12.2017;1;1;65;0;0;86
31.12.2017;1;1;66;1;1;86
31.12.2017;1;1;67;1;1;86
31.12.2017;1;1;68;0;0;86
31.12.2017;1;1;69;1;18;86
31.12.2017;1;1;70;1;2;86
31.12.2017;1;1;71;1;1;86
31.12.2017;1;1;72;1;2;86
31.12.2017;1;1;73;1;1;86
31.12.2017;1;1;74;1;2;86
31.12.2017;1;1;75;0;0;86
31.12.2017;1;1;76;0;0;86
31.12.2017;1;1;77;1;16;86
31.12.2017;1;1;78;0;0;86
31.12.2017;1;1;79;1;3;86
31.12.2017;1;1;80;1;1;86
31.12.2017;1;1;81;1;1;86
31.12.2017;1;1;82;0;0;86
31.12.2017;1;1;90;1;33;86
31.12.2017;1;1;91;1;97;86
31.12.2017;1;1;92;1;49;86
31.12.2017;1;1;93;1;68;86
31.12.2017;1;1;94;1;7;86
31.12.2017;1;1;95;0;0;86
31.12.2017;1;1;96;1;1312;86
31.12.2017;1;1;97;1;8;86
31.12.2017;1;1;98;0;0;86
31.12.2017;1;1;99;1;58;86
31.12.2017;1;1;100;1;6;86
31.12.2017;1;1;101;1;27;86
31.12.2017;1;1;102;0;0;86
31.12.2017;1;1;103;1;38;86
31.12.2017;1;1;104;1;2;86
31.12.2017;1;1;105;1;3;86
31.12.2017;1;1;106;0;0;86
31.12.2017;1;1;107;0;0;86
31.12.2017;1;1;108;1;2;86
31.12.2017;1;1;109;1;16;86
31.12.2017;1;1;110;1;6;86
31.12.2017;1;1;111;1;12;86
31.12.2017;1;1;112;1;58;86
31.12.2017;1;1;113;1;11;86
31.12.2017;1;1;114;1;60;86
31.12.2017;1;1;115;1;14;86
31.12.2017;1;1;116;1;48;86
31.12.2017;1;1;117;1;2;86
31.12.2017;1;1;118;1;1;86
31.12.2017;1;1;119;1;39;86
31.12.2017;1;1;120;1;9;86
31.12.2017;1;1;121;0;0;86
31.12.2017;1;1;123;1;11;86
31.12.2017;1;1;124;1;22;86
31.12.2017;1;1;125;1;20;86
31.12.2017;1;1;126;1;26;86
31.12.2017;1;1;127;1;19;86
31.12.2017;1;1;128;1;1;86
31.12.2017;1;1;129;1;307;86
31.12.2017;1;1;130;0;0;86
31.12.2017;1;1;131;1;1;86
31.12.2017;1;1;132;1;2;86
31.12.2017;1;1;133;0;0;86
31.12.2017;1;1;134;0;0;86
31.12.2017;1;1;135;0;0;86
31.12.2017;1;1;136;1;2;86
31.12.2017;1;1;137;1;11;86
31.12.2017;1;1;138;1;1;86
31.12.2017;1;1;139;1;1;86
31.12.2017;1;1;140;1;1;86
31.12.2017;1;1;141;1;8;86
31.12.2017;1;1;142;0;0;86
31.12.2017;1;1;143;0;0;86
31.12.2017;1;1;144;1;7;86
31.12.2017;1;1;145;1;14;86
31.12.2017;1;1;146;1;6;86
31.12.2017;1;1;147;1;7;86
31.12.2017;1;1;148;0;0;86
31.12.2017;1;1;149;0;0;86
31.12.2017;1;1;150;0;0;86
31.12.2017;1;1;151;0;0;86
31.12.2017;1;1;152;1;34;86
31.12.2017;1;1;153;1;1;86
31.12.2017;1;1;154;1;1;86
31.12.2017;1;1;155;1;1;86
31.12.2017;1;1;156;0;0;86
31.12.2017;1;1;157;0;0;86
31.12.2017;1;1;158;0;0;86
31.12.2017;1;1;159;0;0;86
31.12.2017;1;1;160;0;0;86
31.12.2017;1;1;161;0;0;86
31.12.2017;1;1;162;0;0;86
31.12.2017;1;1;163;0;0;86
31.12.2017;1;1;164;0;0;86
31.12.2017;1;1;165;0;0;86
31.12.2017;1;1;166;0;0;86
31.12.2017;1;1;167;0;0;86
