;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;Podsumowanie Podejmowanie działania ;>215% KWW Możliwości rozwoju (Opportunity);31.12.2019;1;1;69;3
1;33.0;;E.2.3 E.2.3. Minimalny wymóg kapitałowy ;Minimalny wymóg kapitałowy oznacza minimalny próg bezpieczeństwa, poniżej którego środki finansowe nie mogą spaść. Zgodnie z Aktem Delegowanym minimalny wymóg kapitałowy jest nie mniejszy niż nieprzekraczalny dolny próg (AMCR). Minimalny wymóg kapitałowy wyliczany jest formułą liniową zgodnie z zapisami Aktu Delegowanego. Jednocześnie nie przekracza on 45% kapitałowego wymogu wypłacalności i jest nie mniejszy niż jego 25% Poniższa tabela prezentuje wartość minimalnego wymogu kapitałowego i komponenty prowadzące do jego wyznaczenia. tys. PLN;31.12.2019;1;1;69;3
2;33.0;;E.2.2 E.2.2. Uproszczenia ;Aegon TU na Życie S.A. nie stosuje uproszczeń w wyliczeniu kapitałowego wymogu wypłacalności. E.2.3. Minimalny wymóg kapitałowy;31.12.2019;1;1;69;3
3;33.0;;E.2.1 E.2.1. Kapitałowy wymóg wypłacalności ;Wyliczenie kapitałowego wymogu wypłacalności opiera się na zastosowaniu formuły standardowej zgodnie z dyrektywą Wypłacalność II i aktami delegowanymi. Poniższy wykres prezentuje składowe kapitałowego wymogu wypłacalności. Składa się on z trzech głównych podmodułów ryzyka: rynkowego, aktuarialnego i niewypłacalności kontrahenta. Między modułami występuje dywersyfikacja, której Sprawozdanie o Wypłacalności i Kondycji Finansowej sporządzone na dzień 31 grudnia 2019 AEGON Towarzystwo Ubezpieczeń na Życie S.A. 98/ 120 uwzględnienie prowadzi do wyznaczenia podstawowego kapitałowego wymogu wypłacalności. Kapitałowy wymóg wypłacalności wyznaczany jest poprzez dodanie wymogu kapitałowego na pokrycie ryzyka operacyjnego oraz uwzględnienie zdolności odroczonych podatków do pokrywania strat. Moduły ryzyka uwzględniają już wewnętrzną dywersyfikację pomiędzy poszczególnymi ryzykami. Ryzyko operacyjne wyznaczane jest zgodnie z wytycznymi z aktu delegowanego. Korekta z tytułu podatków odpowiada potencjalnej możliwości zmniejszenia strat przez zmniejszenie przyszłych podatków. Całkowity wymóg kapitałowy wyniósł 114 223 tys. PLN. Główne ryzyka wpływające na wartość modułu ryzyka aktuarialnego to ryzyko rezygnacji (wynoszące 46 310 tys. PLN przed dywersyfikacją) oraz wydatków (49 524 tys. PLN przed dywersyfikacją). W module ryzyka rynkowego są to: ryzyko cen akcji (30 199 tys. PLN przed dywersyfikacją) oraz ryzyko stopy procentowej (14 285 tys. PLN). E.2.2. Uproszczenia;31.12.2019;1;1;69;3
4;32.0;;E.1.5 E.1.5. Opis pomniejszeń środków własnych ;Nie dotyczy. E.2. Kapitałowy wymóg wypłacalności i minimalny wymóg kapitałowy;31.12.2019;1;1;69;3
5;32.0;;E.1.4 E.1.4. Pomocnicze środki własne  ;Nie dotyczy. E.1.5. Opis pomniejszeń środków własnych;31.12.2019;1;1;69;3
6;32.0;;E.1.3 E.1.3. Ustalenia przejściowe ;Nie dotyczy. E.1.4. Pomocnicze środki własne;31.12.2019;1;1;69;3
7;32.0;;E.1.2 E.1.2. Różnice pomiędzy wyceną Wypłacalność II a bilansem statutowym ;Poniższa tabela przedstawia różnice pomiędzy wyceną kapitałów własnych na bazie statutowej a wyceną według regulacji Wypłacalność II. 2019.12.31;31.12.2019;1;1;69;3
8;28.0;;D.3.9 D.3.9. Zobowiązania z tytułu świadczeń pracowniczych ;Poniższa tabela przedstawia opis charakteru zobowiązań z tytułu świadczeń pracowniczych oraz rozbicie kwot w podziale na charakter zobowiązania i charakter określonych aktywów planu świadczeń oraz kwotę każdej grupy aktywów wraz z procentem każdej grupy aktywów planu świadczeń na dzień 31 grudnia 2019 roku. Sprawozdanie o Wypłacalności i Kondycji Finansowej sporządzone na dzień 31 grudnia 2019 AEGON Towarzystwo Ubezpieczeń na Życie S.A. 91/ 120 2019.12.31;31.12.2019;1;1;69;3
9;28.0;;D.3.8 D.3.8. Zobowiązania wynikające z umów leasingowych 2019.12.31     Pozostałe pasywa w tys. zł Wartość wg Sprawozdania Finansowego Korekta z tytułu reklasyfikacji Korekta z tytułu wyceny Wartość wg Wypłacalność II  ;Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych 0 0 11 994 11 994 Korekta 11 994 tys. PLN dotyczy ujęcia zobowiązania z tytułu leasingu w wysokości wartości bieżącej opłat leasingowych. zgodnie z IFRS 16. Zgodnie z PSR niezafakturowane płatności z tytułu leasingu operacyjnego nie są rozpoznawane jako składnik zobowiązań. Dlatego została zastosowana korekta. Żadna z umów nie jest uznawana jako indywidualnie istotna, dlatego umowy są wyceniane łącznie w podziale na część polską i rumuńską oraz w podziale na lokale i samochody. Opis umów leasingu zawarto w podrozdziale A.4. D.3.9. Zobowiązania z tytułu świadczeń pracowniczych;31.12.2019;1;1;69;3
10;28.0;;D.3.7 D.3.7. Pozostałe zobowiązania (niewykazane w innych pozycjach) 2019.12.31     Pozostałe pasywa w tys. zł Wartość wg Sprawozdania Finansowego Korekta z tytułu reklasyfikacji Korekta z tytułu wyceny Wartość wg Wypłacalność II  ;Pozostałe zobowiązania (niewykazane w innych pozycjach) 23 357 4 035 -53 27 339 Metoda wyceny według Wypłacalność II Pozostałe zobowiązania niepokazane w innych pozycjach, obejmują rozliczenia międzyokresowe kosztów w wartości prawdopodobnego zobowiązania w bieżącym okresie sprawozdawczym, w szczególności wynikających z wyceny usług dostawców, których wartość można wiarygodnie oszacować. Obejmują także naliczone wydatki wynikające z obowiązku wykonania przyszłych usług a Sprawozdanie o Wypłacalności i Kondycji Finansowej sporządzone na dzień 31 grudnia 2019 AEGON Towarzystwo Ubezpieczeń na Życie S.A. 90/ 120 wynikłe z bieżących operacji, których wartość można oszacować pomimo nie znajomości ich daty. W przypadku pozostałych zobowiązań przyjmowana jest wycena według wartości godziwej. Istotne różnice między wyceną Wypłacalność II i sprawozdaniem finansowym Zobowiązania dla wyceny sprawozdania finansowego wyceniane są w wartości nominalnej. Dla wyceny Wypłacalność II w przypadku rozpoznania zobowiązań o terminie zapadalności co najmniej sześć miesięcy, wierzytelności te dyskontowane są rynkową stopą procentową. W razie braku w/w przesłanek przyjmuje się wycenę sprawozdania finansowego. Korekty z tytułu reklasyfikacji i wyceny (wynikające z odmiennych metod i założeń stosowanych w wycenie) Korekta wynosząca -53 tys. PLN jest wynikiem funduszu świadczeń socjalnych nierozpoznawanych w ramach Wypłacalności II. D.3.8. Zobowiązania wynikające z umów leasingowych;31.12.2019;1;1;69;3
11;28.0;;D.3.6 D.3.6. Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)  2019.12.31     Pozostałe pasywa w tys. zł Wartość wg Sprawozdania Finansowego Korekta z tytułu reklasyfikacji Korekta z tytułu wyceny Wartość wg Wypłacalność II  ;Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej) 15 808 -4 035 0 11 773;31.12.2019;1;1;69;3
12;28.0;;D.3.5 D.3.5. Zobowiązania reasekuracyjne 2019.12.31     Pozostałe pasywa w tys. zł Wartość wg Sprawozdania Finansowego Korekta z tytułu reklasyfikacji Korekta z tytułu wyceny Wartość wg Wypłacalność II  ;Zobowiązania z tytułu reasekuracji biernej 715 -715 0 0 Wycena według zasad dyrektywy Wypłacalność II Stosuje się wycenę według wartości godziwej. Zobowiązania z tytułu reasekuracji dotyczą składek z tytułu reasekuracji (natomiast należności z tytułu reasekuracji odnoszą się do prowizji z tytułu reasekuracji). Należności i zobowiązania z tytułu reasekuracji są wykazywane w bilansie ekonomicznym w kwocie netto. Zgodnie z zasadami Wypłacalność II zobowiązania z tytułu reasekuracji obejmują wyłącznie zobowiązania po dacie zobowiązania (pomniejszone o należności z tytułu reasekuracji – po dacie zobowiązania). Istotne różnice pomiędzy wyceną według zasad dyrektywy Wypłacalność II a wyceną na potrzeby sprawozdania finansowego Jedyną różnicą między wyceną według Wypłacalności II a w sprawozdaniu finansowym jest wyłączenie nieprzeterminowanych zobowiązań wobec reasekuratorów do celów wypłacalności. Saldo netto nieprzeterminowanych należności z tytułu reasekuracji pomniejszone o nieprzeterminowane zobowiązania z tytułu reasekuracji jest ujmowane w bilansie ekonomicznym na koncie kwoty należne z umów reasekuracji. Korekty z tytułu reklasyfikacji W obydwu bilansach (statutowym i ekonomicznym) zobowiązania z tytułu reasekuracji są podawane w kwocie netto. W związku z tym reklasyfikacja dotyczy nieprzeterminowanych należności reasekuracyjnych pomniejszonych o nieprzeterminowane zobowiązania reasekuracyjne na pozycji należności reasekuracyjnych z wpływem -715 tys. PLN. Sprawozdanie o Wypłacalności i Kondycji Finansowej sporządzone na dzień 31 grudnia 2019 AEGON Towarzystwo Ubezpieczeń na Życie S.A. 89/ 120 D.3.6. Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności;31.12.2019;1;1;69;3
13;28.0;;D.3.4 D.3.4. Zobowiązania wobec pośredników i ubezpieczonych 2019.12.31     Pozostałe pasywa w tys. zł Wartość wg Sprawozdania Finansowego Korekta z tytułu reklasyfikacji Korekta z tytułu wyceny Wartość wg Wypłacalność II  ;Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych 12 220 -11 963 0 257;31.12.2019;1;1;69;3
14;28.0;;D.3.3 D.3.3. Zobowiązania z tytułu odroczonego podatku dochodowego 2019.12.31     Pozostałe pasywa w tys. zł Wartość wg Sprawozdania Finansowego Korekta z tytułu reklasyfikacji Korekta z tytułu wyceny Wartość wg Wypłacalność II  ;Rezerwy z tytułu odroczonego podatku dochodowego 0 -8 828 23 054 14 226 Wycena według zasad dyrektywy Wypłacalność II Zobowiązanie z tytułu odroczonego podatku dochodowego ustala się w wysokości kwoty podatku dochodowego, która ma być zapłacona w przyszłości w odniesieniu do przejściowych dodatnich różnic, na przykład różnic, które w przyszłości zwiększą podstawę opodatkowania. Różnice podatkowe zostały ustalone w wyniku różnic między wyceną na potrzeby sprawozdania finansowego, a wyceną według dyrektywy Wypłacalność II. Rezerwa z tytułu odroczonego podatku dochodowego jest szacowana na podstawie stawek podatkowych obowiązujących w roku, w którym powstało zobowiązanie podatkowe. Rezerwa i aktywa z tytułu odroczonego podatku dochodowego są ujmowane w bilansie ekonomicznym w kwocie netto. Sprawozdanie o Wypłacalności i Kondycji Finansowej sporządzone na dzień 31 grudnia 2019 AEGON Towarzystwo Ubezpieczeń na Życie S.A. 87/ 120 Podatkowe różnice przejściowe prezentuje poniższa tabela: Kwoty w PLN tys. wg stanu na 31 grudnia 2019 r. Aktywo z tytułu;31.12.2019;1;1;69;3
15;28.0;;D.3.2 D.3.2. Rezerwy inne niż rezerwy techniczno-ubezpieczeniowe 2019.12.31     Pozostałe pasywa w tys. zł Wartość wg Sprawozdania Finansowego Korekta z tytułu reklasyfikacji Korekta z tytułu wyceny Wartość wg Wypłacalność II  ;Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe) 57 645 0 0 57 645;31.12.2019;1;1;69;3
