;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;Podsumowanie Podstawa prawna sporządzenia;sporządzenia Sprawozdanie o wypłacalności i kondycji finansowej obejmuje rok 2021 i prezentuje dane według stanu na dzień 31 grudnia 2021 roku, przy czym opisano w nim również istotne zmiany, które nastąpiły w działalności Towarzystwa Ubezpieczeń Euler Hermes S.A. do daty sporządzenia tego sprawozdania. Sprawozdanie zostało sporządzone zgodnie z mającymi zastosowanie przepisami;31.12.2021;1;1;85;104
1;33.0;;E.2.2. Minimalny wymóg kapitałowy Tabela 30 Minimalny wymóg kapitałowy (dane w tys. PLN) 31.12.2021 31.12.2020 Liniowy minimalny wymóg kapitałowy 30 157 24 077;077 Górny próg minimalny wymóg kapitałowy;31.12.2021;1;1;85;104
2;32.0;;E.1.4. Strategia zarządzania kapitałem;kapitałem Podstawowym celem zarządzania kapitałem jest zapewnienie pokrycia wymogów regulacyjnych;31.12.2021;1;1;85;104
3;32.0;;E.1.3. Różnice pomiędzy kapitałem własnym ze sprawozdania finansowego a nadwyżką aktywów nad zobowiązaniami obliczoną do celów wypłacalności Tabela 28 Różnice pomiędzy kapitałem własnym a nadwyżką aktywów nad zobowiązaniami (dane w tys. PLN) 31.12.2021 31.12.2020 Kapitał własny ze sprawozdania finansowego 115 023 118 889;889 Różnice w wycenie pomiędzy bilansem statutowym a bilansem Wypłacalność II: 27 899;31.12.2021;1;1;85;104
4;32.0;;E.1.2. Klasyfikacja środków własnych;własnych Wszystkie pozycje środków własnych, oprócz pożyczki podporządkowanej zostały zaklasyfikowane do podstawowych środków własnych kategorii 1- nieograniczonej (tj. najwyższej jakości - cechujących się pełną dostępnością odnośnie do pokrywania strat oraz niższym stopniem uprzywilejowania niż roszczenia wszystkich ubezpieczających i beneficjentów oraz wierzycieli niepodporządkowanych). Pożyczka podporządkowana została zaklasyfikowana do kategorii 2, oznaczającej niższy stopień jakości niż kategoria 1, ale w dalszym ciągu na tyle wysokim aby środki te mogły służyć pokryciu obu wymogów kapitałowych tj. MCR i SCR. E.1.3. Różnice pomiędzy kapitałem własnym ze sprawozdania finansowego;31.12.2021;1;1;85;104
5;28.0;;D.3.3. Wyliczenie innych zobowiązań istotne zmiany w ciągu roku;roku W okresie sprawozdawczym nie nastąpiły zmiany w zakresie sposobu wyceny i zasad ujmowania innych zobowiązań. D.4.;31.12.2021;1;1;85;104
6;28.0;;D.3.2. Ilościowe i jakościowe wyjaśnienia różnic w wycenie na potrzeby sprawozdań finansowych i Wypłacalności II dla każdej istotnej grupy zobowiązań innych niż rezerwy techniczno-ubezpieczeniowe;techniczno-ubezpieczeniowe W analizowanym okresie (analogicznie jak w roku ubiegłym) różnice w wycenie dotyczyły przede wszystkim następujących istotnych4;31.12.2021;1;1;85;104
7;27.0;;D.2.5. Wyliczenie rezerw techniczno-ubezpieczeniowych – istotne zmiany w ciągu roku;roku W związku z niepewną sytuacją gospodarczą, spowodowaną pandemią COVID-19, Spółka w procesie wyliczania rezerw szkodowych dla ubezpieczeń kredytu kupieckiego przeprowadziła dodatkową kalkulację za pomocą wcześniej niestosowanej metody aktuarialnej – Incremental Loss Ratio. Metoda ta, w przeciwieństwie do standardowych metod (Chain-Ladder, Bornhuetter-Ferguson) wyróżnia się przykładaniem dużo większej wagi do historycznych obserwacji, w mniejszym stopniu uwzględniając dotychczasową, w ocenie Spółki nieprezentatywną, realizację szkodowości dla bieżącego roku zajścia szkody. Zastosowanie tej metody pozwoliło na odpowiednie ujęcie w kalkulacji potencjalnych odchyleń obserwowanych w historycznych danych szkodowych związanych z COVID-19. Spółka, mając na uwadzę wysoki poziom niepewności, stosując ostrożnościowe podejście postanowiła dla lat szkodowych 2020-2021 przyjąć ultymatywną wartość szkód wyliczoną na bazie metody Incremental Loss Ratio, która zapewnia adekwatny poziom rezerwy IBNR. Rozwój szkodowści, w szczególności dla wyżej wymienionych lat szkodowych będzie stale monitorowany przez Spółkę. D.3.;31.12.2021;1;1;85;104
8;27.0;;D.2.4. Udział reasekuratorów w rezerwach techniczno-ubezpieczeniowych (Kwoty należne z umów reasekuracji związane z rezerwami techniczno –ubezpieczeniowymi Wypłacalność II);II) Na potrzeby wyceny kwot należnych z tytułu reasekuracji Spółka w pierwszym kroku wycenia najlepsze oszacowanie zobowiązań w ujęciu brutto, a następnie najlepsze oszacowanie zobowiązań po uwzględnieniu kwot należnych z umów reasekuracji bez uwzględnienia korekty z tytułu oczekiwanych strat wynikających z niewykonania zobowiązania przez kontrahenta. Ostatecznie, poprzez różnicę, Spółka uzyskuje wartość kwot należnych z tytułu reasekuracji. W zakresie najlepszego oszacowania zobowiązań dla rezerw szkodowych przed uwzględnieniem dyskonta Spółka uzyskuje rezerwy netto poprzez zastosowanie odpowiednich współczynników cesji do rezerw w ujęciu brutto. W celu wyznaczenia najlepszego oszacowania zobowiązań dla rezerwy składki netto Spółka dokonuje pełnego wyliczenia przy użyciu danych wsadowych i założeń ustalanych w ujęciu netto oraz uwzględnia wszelkie płatności z tytułu reasekuracji. Margines ryzyka nie jest przedmiotem cesji. Dodatkowo, udział reasekuratora w rezerwach techniczno-ubezpieczeniowych na potrzeby wypłacalności jest pomniejszany o oczekiwane straty wynikające z niewykonania zobowiązania przez kontrahentów reasekuracyjnych. Dostosowanie to bierze pod uwagę ocenę prawdopodobieństwa niewykonania zobowiązania przez kontrahenta, zmodyfikowaną durację oraz wartość najlepszego Sprawozdanie o wypłacalności i kondycji fonansowej Towarzystwa Ubezpieczeń Euler Hermes S.A.;31.12.2021;1;1;85;104
9;27.0;;D.2.3. Różnice pomiędzy metodyką wyceny rezerw do celów wypłacalności a metodyką wyceny rezerw na potrzeby sporządzenia sprawozdania finansowego;finansowego Poniższa tabela zawiera istotne różnice pomiędzy podstawami, metodami i głównymi założeniami stosowanymi do wyceny do celów wypłacalności i na potrzeby sprawozdań finansowych dla linii biznesowej ubezpieczeń kredytów i poręczeń. Tabela 18 Różnice w metodyce wyceny rezerw na potrzeby sprawozdań finansowych i do celów wypłacalności;31.12.2021;1;1;85;104
