;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;B3 System zarządzania ryzykiem, w tym wła-sna ocena ryzyka i wypłacalności B.3.1 Funkcja zarządzania ryzykiem;ryzykiemNa dzień 31 grudnia 2017 roku nadzór nad funkcją zarządzania ryzy-kiem Towarzystwo powierzyło Menedżerowi Działu Zarządzania Ry-zykiem, raportującemu do CRO oraz do komitetów: Wykonawczego i Ryzyka. Osoba nadzorująca funkcję zarządzania ryzykiem jest rów-nież Sekretarzem komitetu Ryzyka oraz uczestniczy w posiedzeniach Komitetu ORC. Głównymi zadaniami funkcji zarządzania ryzykiem są:• Efektywne wdrażanie systemu zarządzania ryzykiem, w tym strategii zarządzania ryzykiem, polityk ryzyka, standardów biz-nesowych, procesów i procedur zarządzania ryzykiem,• Kierowanie procesami zarządzania ryzykiem należącymi do pro-cesów własnej oceny ryzyka i wypłacalności, w szczególności procesem identyfikacji, pomiaru, zarządzania, monitorowania i raportowania kluczowych ryzyk,• Przegląd i krytyczna ocena czynności należących do procesów zarządzania ryzykiem przeprowadzanych przez pracowników poszczególnych obszarów biznesowych, w szczególności proce-su identyfikacji, pomiaru, zarządzania, monitorowania i raporto-wania ryzyka operacyjnego,• Przegląd i krytyczna ocena wdrożenia polityk ryzyka i standar-dów biznesowych przez pracowników poszczególnych obsza-rów biznesowych Towarzystwa,• Przegląd i krytyczna ocena czynności i decyzji związanych z po-dejmowaniem ryzyka oraz środków mitygujących podejmowa-nych przez właścicieli poszczególnych obszarów biznesowych Towarzystwa,• Raportowanie wyników procesów zarządzania ryzykiem do Za-rządu i Komitetu Ryzyka,• Kierowanie procesem raportowania własnej oceny ryzyka i wy-płacalności do Zarządu i Organu Nadzoru,• Kierowanie procesem walidacji modelu kapitału ekonomicznego oraz raportowanie jego wyników do Zarządu i Komitetu Ryzyka.24Sprawozdanie o wypłacalności i kondycji finansowej na dzień 31 grudnia 2017 roku B.3.2 System zarządzania ryzykiem;31.12.2017;1;1;11;7
1;12.0;;B.4.1 Funkcja zgodności z przepisami;przepisamiNa dzień 31 grudnia 2017 roku nadzór nad Funkcją zgodności z przepisami Towarzystwo powierzyło COO, raportującemu do CRO oraz do całego Zarządu. Osoba nadzorująca funkcję zgodności z przepisami jest również uczestnikiem posiedzeń Komitetu Ryzyka oraz uczestniczy w posiedzeniach Komitetu Audytu i ORC w ramach punktów agendy dotyczących odpowiedzialności CCO. Zgodnie z wytycznymi KNF dotyczącymi Ładu Korporacyjnego, obowiązują-cymi od 1 stycznia 2015 roku, CCO ma bezpośredni dostęp do Za-rządu i Rady Nadzorczej oraz uczestniczy w posiedzeniach Zarządu (jako osoba zaproszona) w sprawach związanych z przestrzeganiem przepisów. CCO jest również stałym członkiem Customer Board (de-dykowany komitet odpowiedzialny za zapewnienie odpowiedniego traktowania klientów i działania w ich interesie). Funkcja zgodności z przepisami obejmuje doradzanie Zarządowi i Ra-dzie Nadzorczej w kwestii zgodności z przepisami, ocenę możliwego wpływu zmian otoczenia regulacyjnego na funkcjonowanie Towa-rzystwa, ocenę wpływu braku dostosowania się do nowych regulacji oraz ocenę ryzyka związanego z nieprzestrzeganiem prawa.B.5 Funkcja audytu wewnętrznego;31.12.2017;1;1;11;7
2;11.0;;B.3.3 Proces własnej oceny ryzyka i wypłacalności;wypłacalnościProces ORSA w Towarzystwie opiera się na szeregu procesów za-rządzania ryzykiem przeprowadzanych regularnie w ciągu roku. Co najmniej raz w roku osoba nadzorująca funkcję zarządzania ryzykiem przygotowuje raport ORSA podsumowujący wyniki i wnioski z prze-prowadzonych procesów. W szczególności proces raportowania ORSA wspiera proces ustalania strategii oraz planowania biznesowe-go. Raport z przeprowadzenia własnej oceny ryzyka i wypłacalności jest zatwierdzany przez Zarząd Towarzystwa.Poszczególne procesy składające się na własną ocenę ryzyka i wypła-calności są zintegrowane ze strukturą organizacyjną i procesami de-cyzyjnymi Towarzystwa poprzez raportowanie wyników i wniosków z tych procesów do odpowiednich komitetów osadzonych w struk-turze organizacyjnej i zarządczej Towarzystwa. Następujące procesy składają się na własną ocenę ryzyka i wypłacal-ności Towarzystwa:• proces zarządzania kapitałem, włączając alokację kapitału, mo-nitorowanie, raportowanie oraz testy stresu i analizy scenariu-szowe (raportowanie wyników do Zarządu i Komitetu ALCO),• proces ustanawiania strategii oraz planowania biznesowego (ra-portowanie wyników do Zarządu i Komitetu ALCO),• proces zarządzania jakością danych (raportowanie wyników do komitetu Jakości Danych, wspierającego prace Komitetu ORC),• proces rozwoju modelu kapitału ekonomicznego (raportowanie wyników do Komitetu Kapitału Ekonomicznego, wspierającego prace Komitetu ALCO),• proces identyfikacji, pomiaru, monitorowania, zarządzania i ra-portowania kluczowych ryzyk (raportowanie wyników do Zarzą-du i Komitetu Ryzyka),• proces identyfikacji, pomiaru, monitorowania, zarządzania i ra-portowania ryzyk operacyjnych (raportowanie wyników do Ko-mitetu ORC),• proces raportowania zdarzeń operacyjnych (raportowanie wyni-ków do Komitetu ORC).Ustalanie własnych potrzeb w zakresie wypłacalności;31.12.2017;1;1;11;7
3;11.0;;B.3.2 System zarządzania ryzykiem;ryzykiemW Towarzystwie istnieje system zarządzania ryzykiem obejmujący strategię zarządzania ryzykiem, polityki ryzyka, standardy biznesowe oraz procesy i procedury zarządzania ryzykiem służące do identyfi-kacji, pomiaru, zarządzania, monitorowania i raportowania ryzyka (na poziomie indywidualnym oraz zagregowanym), na które jest lub może być narażone Towarzystwo. System zarządzania ryzykiem jest efektywny i dobrze zintegrowany ze strukturą organizacyjną, struk-turą komitetów oraz z procesami decyzyjnymi Towarzystwa, z odpo-wiednim uwzględnieniem osób pełniących kluczowe funkcje.Strategia zarządzania ryzykiem, polityki ryzyka i standardy;31.12.2017;1;1;11;7
4;9.0;;B.1.6 Zasady dotyczące wynagradzania;wynagradzaniaTowarzystwo posiada regulacje wewnętrzne określające zasady wyna-gradzania Rady Nadzorczej, Zarządu oraz osób pełniących kluczowe funkcje w Aviva TUnŻ. Generalne zasady kształtowania przejrzystej polityki wynagradzania mają także zastosowanie do pracowników Towarzystwa. Celem Aviva TUnŻ jest zapewnienie zgodności struktu-ry wynagrodzeń z jej strategią działalności, a także umożliwienie To-warzystwu wywiązywania się z obowiązku efektywnego zarządzania ryzykiem i wykorzystania kapitału. Kształtując politykę wynagrodzeń, odpowiednie organy Towarzystwa kierują się jego bezpieczeństwem, biorąc pod uwagę jego potrzeby rozwojowe oraz jego bieżącą sytu-ację finansową. System wynagradzania obowiązujący w Aviva TUnŻ jest zgodny z powszechnie obowiązującymi regulacjami prawnymi oraz zapewnia konkurencyjność pakietu wynagrodzeń, który:• jest zgodny z odpowiednią praktyką rynkową,• wspiera realizację strategii Aviva TUnŻ,• sprzyja rozwojowi i bezpieczeństwu działania Aviva TUnŻ,• podkreśla wartości i zachowania obowiązujące w Aviva TUnŻ.Towarzystwo poprzez swoją politykę wynagradzania wspiera reali-zację rocznych i długofalowych celów strategicznych. Programy wy-nagrodzeniowo–motywacyjne Towarzystwa mają na celu zachęcanie do:• rozważnego i roztropnego zarządzania sprawami Aviva TUnŻ,• przestrzegania Kodeksu Etyki Biznesu Aviva TUnŻ,• uczciwego traktowania klientów Aviva TUnŻ przez jej pracow-ników,• przyjmowania przez pracowników Aviva TUnŻ odpowiedzialnej postawy wobec zarządzania ryzykiem w Towarzystwie.Towarzystwo stosuje system wynagrodzeń obejmujący zarówno sta-łe, jak i zmienne składniki wynagrodzenia, skomponowane w taki sposób, aby stały lub gwarantowany składnik stanowił odpowied-nio wysoką część całkowitego wynagrodzenia, co ma na celu za-pobiegać nadmiernemu uzależnieniu pracowników od zmiennych składników oraz pozwala Aviva TUnŻ stosować w pełni elastyczne zasady dotyczące premii, umożliwiające między innymi niewypłaca-nie zmiennego składnika wynagrodzenia.Aviva TUnŻ stosuje strukturę wynagrodzeń zmiennych, która odpo-wiada następującym założeniom:• Struktura wynagrodzeń dla wszystkich pracowników Towarzy-stwa nie powinna zachęcać do podejmowania ryzyka wykra-czającego poza apetyt na ryzyko określony dla danej jednostki/obszaru, a w przypadku członków Zarządu musi obejmować cel (cele) związany z ryzykiem, którego realizacja będzie miała istot-ny wpływ na przyznanie i wysokość wynagrodzeń zmiennych dla poszczególnych osób,• Ustalając strukturę wynagradzania, należy unikać konfliktu in-teresów,• Ustalając strukturę wynagradzania, należy kierować się przede wszystkim uczciwym postępowaniem wobec klientów Aviva TUnŻ. Struktura wynagradzania powinna zachęcać do jak naj-większej dbałości o klienta Towarzystwa. Nie powinna również stanowić zachęty do łamania zasad zawartych w Kodeksie Etyki Biznesu Aviva TUnŻ.Ponadto:• Ustalając wysokość zmiennego wynagrodzenia dla pracownika, należy uwzględnić wyniki Aviva TUnŻ i jednostki biznesowej, w której pracuje dana osoba, wyniki tej osoby w stosunku do celów lub zadań wyznaczonych dla jej stanowiska oraz całkowi-te wynagrodzenie pracownika względem poziomu rynkowego,• Zmienne składniki wynagrodzenia członków Zarządu oraz osób pełniących kluczowe funkcje powinny być uzależnione w szcze-gólności od obiektywnych kryteriów, jakości zarządzania oraz uwzględniać długoterminowe aspekty działania i sposób reali-zacji celów strategicznych. Ustalając zmienne składniki wyna-grodzenia uwzględnia się także nagrody lub korzyści, w tym wynikające z programów motywacyjnych oraz innych progra-mów premiowych wypłaconych, należnych lub potencjalnie na-leżnych,• Aviva TUnŻ przy ustalaniu programów bonusowych może także stosować odroczenia wypłaty części bonusów, mając na wzglę-dzie przyjęte długofalowe cele Aviva TUnŻ i poziom ich realizacji,• Polityka i zasady wynagradzania członków Rady Nadzorczej, członków Zarządu oraz osób pełniących kluczowe funkcje od-powiadają wymogom powszechnie obowiązujących przepisów prawa, a także powinny być dokumentowane i raportowane zgodnie z tymi wymogami,• Wynagrodzenie z tytułu pełnienia funkcji w Radzie Nadzorczej przysługuje wyłącznie Niezależnym Członkom Rady Nadzorczej,• Wynagrodzenie Niezależnych Członków Rady Nadzorczej usta-la się adekwatnie do pełnionej funkcji. Niezależni Członkowie Rady Nadzorczej powołani do pracy w komitetach, w tym w Ko-mitecie Audytu lub Ryzyka, wynagradzani są adekwatnie do do-datkowych zadań wykonywanych w ramach danego komitetu,• Wynagrodzenie Niezależnych Członków Rady Nadzorczej usta-lane jest przez Walne Zgromadzenie,• Aviva TUnŻ nie posiada dodatkowych programów emerytalno--rentowych lub programów wcześniejszych emerytur dla człon-ków organu administrującego, zarządzającego lub nadzorczego i innych osób nadzorujących kluczowe funkcje.Informacje dotyczące istotnych transakcji zawartych w okresie spra-wozdawczym z członkami Zarządu i członkami Rady NadzorczejW okresie sprawozdawczym oraz w okresie porównawczym nie udzielono pożyczek członkom Zarządu ani członkom Rady Nadzor-czej. Członkowie Zarządu Towarzystwa uczestniczą w planach opcyjnych i akcyjnych organizowanych przez Aviva Plc, których realizacja jest odroczona w czasie. Uprawnienie do skorzystania z opcji jest uza-leżnione od spełnienia szeregu warunków określonych w zasadach planów opcyjnych, uzależnionych od wyników grupy kapitałowej Aviva Plc.22Sprawozdanie o wypłacalności i kondycji finansowej na dzień 31 grudnia 2017 roku W okresie sprawozdawczym oraz w okresie porównawczym Aviva TUnŻ nie zawierała umów z udziałowcami. Towarzystwo jest natomiast stroną szeregu transakcji z jednostkami powiązanymi, niebędącymi jej udziałowcami. Najważniejsze z nich obejmują umowę dystrybucyjną z Aviva Sp. z o.o., umowę o zarządzanie aktywami z Aviva Investors Poland TFI S.A., umowę o świad-czenie usług pomocniczych z Aviva Europe Services EEIG oraz umowę o świadczenie usług pośrednictwa ubezpieczeniowego z Expander Advisors Sp. z o.o.B.2 Wymogi dotyczące kompetencji i reputacji;31.12.2017;1;1;11;7
5;9.0;;B.1.5 Struktura komitetów;komitetówSystem zarządzania (w szczególności w odniesieniu do zarządzania ryzykiem) jest zorganizowany poprzez strukturę komitetów, których zadaniem jest wspieranie wydajnych i transparentnych procesów po-dejmowania decyzji. Każdy komitet posiada własny regulamin do-tyczący zakresu uprawnień określający zakres, cel, role, zakresy od-powiedzialności, standardowy porządek posiedzenia i częstotliwość spotkań komitetu. Określa też zasady eskalacji przypadków naruszeń obowiązujących w Aviva TUnŻ zasad.Komitety są podzielone na:• Komitety przy Radzie Nadzorczej, których rolą jest informowanie i wspieranie Rady Nadzorczej w pełnieniu swojej funkcji nadzorczej: •;31.12.2017;1;1;11;7
6;9.0;;B.1.4 Alokacja odpowiedzialności i delegowanie uprawnień;uprawnieńSystem zarządzania w Aviva TUnŻ opiera się na Zasadach Delegowa-nia Uprawnień wdrożonych w Grupie Aviva w Polsce. Zarząd Aviva TUnŻ jest uprawniony do zarządzania Towarzystwem i do jego repre-zentowania.Zarząd może powierzyć uprawnienia w ramach swoich zespołów, zapewniając, że istnieją struktury (wewnętrzne kontrole, system za-rządzania i raportowania), pozwalające zarządzać Towarzystwem zgodnie z politykami organizacji i procesami akceptacji.Każda osoba zarządzająca funkcją w oparciu o uprawnienia dele-gowane przez Zarząd, powinna mieć stosunek prawny z Towarzy-stwem, jako członek Zarządu lub dyrektor.Zarząd może delegować swoje uprawnienia do powołanych komite-tów, które mogą dalej delegować swoje obowiązki do odpowiednich osób, komitetów podległych lub grup roboczych.Wewnętrzny przegląd systemu zarządzania jest przeprowadzany dwa razy do roku. Głównym celem przeglądu jest weryfikacja obec-nych standardów. Główne wnioski i konkluzje są udokumentowane i zaraportowane do CRO nadzorującego Departament Zarządzania Ryzykiem i CEO Towarzystwa oraz do grupy kapitałowej Aviva plc. B.1.5 Struktura komitetów;31.12.2017;1;1;11;7
7;9.0;;B.1.3 Zarząd;"ZarządZa prowadzenie spraw i reprezentację Towarzystwa odpowiada Zarząd, który jest wyłącznie właściwy we wszelkich sprawach nie-przekazanych postanowieniami Statutu Towarzystwa lub przepisa-mi prawa do kompetencji innych organów Aviva TUnŻ. Do kompe-tencji Zarządu należy rozpatrywanie bieżących spraw Towarzystwa, a w szczególności:• Rozpatrywanie miesięcznych raportów finansowych i innej spra-wozdawczości zarządczej związanej z bieżącą kontrolą działal-ności Towarzystwa,• Rozpatrywanie średnio i długoterminowych planów rozwoju;• Rozpatrywanie projektów rocznego budżetu, rachunku wyni-ków oraz bilansu Towarzystwa,• Rozpatrywanie zasad polityki kadrowej i płacowej;• Udzielanie i odwoływanie prokur,• Rozpatrywanie istotnych spraw dotyczących organizacji Towa-rzystwa,• Rozpatrywanie innych spraw wniesionych przez Prezesa lub przez członków Zarządu, a także dyrektorów jednostek orga-nizacyjnych do rozpatrzenia przez Zarząd, które ze względu na istotę zagadnienia lub wysokość ewentualnych zobowiązań To-warzystwa, wymagają rozpatrzenia przez Zarząd,• Rozpatrywanie spraw przedkładanych do rozpatrzenia przez Radę Nadzorczą i Walne Zgromadzenie Akcjonariuszy.Na dzień 31 grudnia 2017 struktura Zarządu* wraz z przypisaniem odpowiedzialności prezentowała się następująco: Adam Uszpolewicz";31.12.2017;1;1;11;7
8;9.0;;B.1.2 Rada Nadzorcza;NadzorczaRada Nadzorcza sprawuje stały nadzór nad działalnością Towarzy-stwa we wszystkich dziedzinach jej działalności w sposób zgodny ze Statutem, obowiązującymi przepisami prawa i wymogami regu-lacyjnymi oraz obowiązującymi zasadami ładu korporacyjnego. Rada Nadzorcza działa na podstawie kodeksu spółek handlowych, ustawy o działalności ubezpieczeniowej i reasekuracyjnej, Statutu oraz Regu-laminu Rady Nadzorczej. Do głównych zadań Rady Nadzorczej należy między innymi:• Konstruktywne kwestionowanie przedłożonych im spraw,• Przyczynianie się do rozwoju strategii Grupy Aviva plc,• Uczestniczenie w kształtowaniu strategii Towarzystwa,• Nadzorowanie realizacji przez Zarząd uzgodnionych celów oraz monitorowanie sprawozdawczości w zakresie wyników,• Weryfikowanie czy środki kontroli finansowej i system zarządza-nia ryzykiem są rzetelne i bezpieczne.Rada Nadzorcza Towarzystwa składa się co najmniej z trzech człon-ków, powoływanych uchwałą Walnego Zgromadzenia. Pracami Rady Nadzorczej kieruje Przewodniczący, wybrany spośród członków Rady Nadzorczej przez Walne Zgromadzenie.Na dzień 31 grudnia 2017 w skład Rady Nadzorczej wchodzili:• Maurice Tulloch - Przewodniczący Rady Nadzorczej• Mariusz Cezary Grendowicz – Członek Rady Nadzorczej• Mirosław Skiba – Członek Rady Nadzorczej• Antoni Reczek – Członek Rady Nadzorczej• Thomas Ruedel – Członek Rady NadzorczejB.1.3 Zarząd;31.12.2017;1;1;11;7
9;9.0;;B.1.1 Struktura organizacyjna;organizacyjnaZgodnie z zasadami określonymi w Ustawie o działalności ubezpie-czeniowej i reasekuracyjnej, system zarządzania opiera się na czte-rech kluczowych funkcjach: • Funkcji zarządzania ryzykiem,• Funkcji zgodności z przepisami,• Funkcji audytu wewnętrznego,• Funkcji aktuarialnej. Umiejscowienie kluczowych funkcji w strukturze organizacyjnej Aviva TUnŻ zostało przedstawione na diagramie poniżej. Poniższa struktura organizacyjna ma na celu wspieranie realizacji strategii i działań podejmowanych przez Towarzystwo. Taka struktura pozwa-la na odpowiedni podział odpowiedzialności między komórkami or-ganizacyjnymi, umożliwia elastyczne dostosowanie się Towarzystwa do zmiany celów strategicznych, nowo podejmowanych działań lub środowiska biznesowego w odpowiednim czasie. Główne jednostki organizacyjne to departamenty, które są nadzorowane przez człon-ków Zarządu. Departamenty są podzielone na działy i sekcje, na cze-le, których stoją Dyrektorzy lub Menedżerowie.18Sprawozdanie o wypłacalności i kondycji finansowej na dzień 31 grudnia 2017 roku Aviva Towarzystwo Ubezpieczeń na Życie S.A.Departament Audytu WewnętrznegoDepartament Ubezpieczeń ŻyciowychDepartament SprzedazyDepartament Marketingu i DirectuDepartament Zarządzania Kapitałem LudzkimDział PrawnyDepartament Zarządzania RyzykiemDepartament ITDział OperacjiDział AkturialnyDział Zarządzania RyzykiemDział Zgodności z PrzepisamiDepartament Finansowy Grupy19Sprawozdanie o wypłacalności i kondycji finansowej na dzień 31 grudnia 2017 roku B.1.2 Rada Nadzorcza;31.12.2017;1;1;11;7
