FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ;KOD ZAKLADU;WERSJA SFCR;DATA SFCR;ID_TAB;TRZECI WYMIAR KRAJ
S.17.01.02.01;R0010;C0020;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0030;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0040;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0050;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0060;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0070;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0080;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0090;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0100;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0110;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0120;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0130;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0140;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0150;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0160;;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0170;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0010;C0180;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0020;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0030;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0040;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0050;0.0;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0060;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0070;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0080;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0090;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0100;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0110;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0120;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0130;;57;1;31.12.2019;106;
S.17.01.02.01;R0050;C0140;;57;1;31.12.2019;106;
