;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;Podsumowanie;"Podsumowanie Niniejsze Sprawozdanie o wypłacalności i kondycji finansowej zostało sporządzone na podstawie art. 284 Ustawy o działalności ubezpieczeniowej i reasekuracyjnej z dnia 11 września 2015 (tekst jednolity – Dz.U. z 2021 r., poz. 1130) oraz tytułu I rozporządzenia delegowanego Komisji (UE) 2015/35 z dnia 10 października 2014 r. uzupełniające dyrektywę Parlamentu Europejskiego i Rady 2009/138/WE w sprawie podejmowania i prowadzenia działalności ubezpieczeniowej i reasekuracyjnej (Wypłacalność II) (Dz. U. UE L.15.12.1) i tytułu I rozporządzenia Komisji (UE) 2019/981 z dnia 8 marca 2019 r. zmieniające rozporządzenie delegowane (UE) 2015/35 uzupełniające dyrektywę Parlamentu Europejskiego i Rady 2009/138/WE w sprawie podejmowania i prowadzenia działalności ubezpieczeniowej i reasekuracyjnej (Wypłacalność II) (Dz. U. UE L. 161) (razem „Rozporządzenie”). W roku 2021 Towarzystwo prowadziło bezpośrednią działalność ubezpieczeniową i działalność z nią związaną w zakresie ubezpieczeń na życie w następujących grupach ubezpieczeniowych: Grupa 1: Ubezpieczenia na życie; Grupa 3: Ubezpieczenia na życie, jeżeli są związane z ubezpieczeniowym funduszem kapitałowym, a także ubezpieczenia na życie, w których świadczenie zakładu ubezpieczeń jest ustalane w oparciu o określone indeksy lub inne wartości bazowe; Grupa 5: Ubezpieczenia wypadkowe i chorobowe, jeśli są uzupełnieniem ubezpieczeń wymienionych w grupach 1-3. Głównym elementem działalności Towarzystwa jest sprzedaż ubezpieczeń powiązanych z produktami bankowymi, w tym w ramach współpracy z bankiem BNP Paribas Bank Polska S.A. będącym razem z Towarzystwem częścią Grupy Kapitałowej BNP Paribas. Są to przede wszystkim produkty związane z kredytami gotówkowymi, hipotecznymi, ratalnymi oraz samochodowymi (ubezpieczenia kredytobiorców stanowiły około 98% składki przypisanej brutto na koniec 2021 r. w porównaniu do 90% w 2020 r.) Pozostałą część portfela stanowią indywidualne produkty ochronne oraz produkty oszczędnościowe. Składka przypisana brutto wzrosła w okresie od 1 stycznia 2021 r. do 31 grudnia 2021 r. („okres sprawozdawczy”) o 54,9 mln zł (25%) do 272,2 mln zł w porównaniu do poprzedniego okresu sprawozdawczego w wyniku wielokanałowych działań Cardif nakierowanych na zwiększenie efektywności sprzedaży ubezpieczeń przez Bank BNP Paribas w Polsce (podejmowane w ścisłej współpracy z partnerem). Działania o charakterze zarządczym, produktowym oraz inwestycje w systemy informatyczne usprawniające procesy sprzedażowe i obsługowe umożliwiły dalsze zwiększenie sprzedaży kluczowych produktów poprzez BNPP. Towarzystwo utrzymało również wyniki sprzedażowe w linii automotive na poziomie zbliżonym do poprzedniego roku, pomimo globalnych trudności związanych z dostępnością nowych samochodów. Pomimo negatywnego wpływu pandemii na szkodowość, w 2021 r. Spółka poprawiła swoją rentowność. Łączne koszty Spółki w relacji do składki zarobionej netto powiększonej o przychody netto z inwestycji spadły o 1,3 pp. i wyniosły na koniec 2021 r. 95,3%. Wynik z działalności lokacyjnej Towarzystwa (z uwzględnieniem niezrealizowanych zysków i strat na lokatach oraz kosztów działalności lokacyjnej) wyniósł w okresie sprawozdawczym 3,7 mln zł i zmniejszył się w stosunku do poprzedniego roku o 45% (3,1 mln zł). Pogorszenie się wyniku było przede wszystkim pochodną gorszego wyniku na obligacjach głównie w wyniku realizacji strat przy sprzedaży w związku z podwyżkami stóp procentowych (wynik netto gorszy o 8,0 mln zł w porównaniu do 2020 r.). Wynik na obligacjach został skompensowany zyskiem na instrumentach udziałowych (zysk netto 4,8 mln zł), głównie w wyniku realizacji zysków przy sprzedaży spowodowanej zmianą Polityki Inwestycyjnej. W okresie sprawozdawczym Towarzystwo zmniejszyło poziom dywersyfikacji działalności przypisując ok. 15% składki poprzez partnerów spoza Grupy BNP Paribas. W 2021 r. kontynuowano pracę nad transformacją cyfrową: upraszczaniem procesów wewnętrznych (automatyzacja i cyfryzacja), infrastruktury IT oraz rozwijaniem organizacji SFCR – SPRAWOZDANIE O WYPŁACALNOSCI I KONDYCJI FINANSOWEJ – 31 GRUDNIA 2021";31.12.2021;1;1;57;108
1;18.0;;C.1.9 C0109Z0010;do stawki podatkowej / Approach to tax ratePodejście oparte na średniej stawce podatkowej;31.12.2021;1;1;57;108
2;4.0;;A.2.2 SFCR – SPRAWOZDANIE O WYPŁACALNOSCI I KONDYCJI FINANSOWEJ – 31 GRUDNIA 2021 ;2;31.12.2021;1;1;57;108
3;31.0;37.0;E.6  Wszelkie inne informacje  Brak innych istotnych informacji dotyczących systemu zarządzania spółki.   SFCR – SPRAWOZDANIE O WYPŁACALNOSCI I KONDYCJI FINANSOWEJ – 31 GRUDNIA 2021 ;36;31.12.2021;1;1;57;108
4;31.0;36.0;E.5 Niezgodność z minimalnym wymogiem kapitałowym i niezgodność z kapitałowym wymogiem wypłacalności;wypłacalności Towarzystwo nie stwierdza przypadków niezgodności z wymogiem kapitałowym oraz minimalnym wymogiem kapitałowym. E.6;31.12.2021;1;1;57;108
5;31.0;35.0;E.4 Różnice między formułą standardową a stosowanym modelem wewnętrznym;Nie dotyczy. E.5;31.12.2021;1;1;57;108
6;31.0;34.0;E.3 Zastosowanie podmodułu ryzyka cen akcji opartego na duracji do obliczenia kapitałowego wymogu wypłacalności;wypłacalności Zakład nie stosuje podmodułu ryzyka cen akcji opartego na duracji. E.4;31.12.2021;1;1;57;108
7;31.0;33.0;E.2 Kapitałowy wymóg wypłacalności i minimalny wymóg kapitałowy;wymóg wypłacalności E.2.a Kwoty SCR i MCR Wartość kapitałowego wymogu wypłacalności (SCR) na dzień 31 grudnia 2021r. wynosi 35.065 tys. zł. Wartość minimalnego kapitałowego wymogu wypłacalności (MCR) na dzień 31 grudnia 2021r. wynosi 17.097 tys. zł. Poniższa tabela przedstawia podział SCR na moduły:;31.12.2021;1;1;57;108
8;31.0;32.0;E.1 Środki własne;własne E.1.a Cele, polityki i procesy Towarzystwo posiada jasno zdefiniowaną politykę zarządzania kapitałem, której realizacja zapewnia ciągłą zgodność z wymogami kapitałowymi. Nadrzędnym celem polityki zarządzania kapitałem jest zapewnienie zgodności z wymogami regulacyjnymi w obszarze wymogów kapitałowych oraz utrzymanie wskaźników wymogów kapitałowych, na poziomie który zabezpieczy rentowność Towarzystwa przy zoptymalizowanej strukturze kapitałowej. Polityka zarządzania kapitałem opiera się na następujących zasadach: ;31.12.2021;1;1;57;108
9;25.0;30.0;D.5 Wszelkie inne informacje;informacje Spółka nie identyfikuje zobowiązań pozabilansowych zarówno na 31 grudnia 2021 r. jak i na 31 grudnia 2020 r. Wszelkie inne istotne informacje zostały ujawnione w rozdziałach D.1-D.4. SFCR – SPRAWOZDANIE O WYPŁACALNOSCI I KONDYCJI FINANSOWEJ – 31 GRUDNIA 2021;31.12.2021;1;1;57;108
