;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;Podsumowanie;Podsumowanie Sprawozdanie o wypłacalności i kondycji finansowej (dalej „Sprawozdanie Spółki”, „Sprawozdanie”) zostało przygotowane przez Open Life Towarzystwo Ubezpieczeń Życie Spółka Akcyjna (dalej „Open Life”, „Spółka” lub „Towarzystwo”) za 2018 rok, na podstawie wymogów prawa określonych w poniższych regulacjach: - Ustawy o działalności ubezpieczeniowej i reasekuracyjnej z dnia 11 września 2015 roku (dalej, „Ustawa Ubezpieczeniowa”), - Rozporządzenie Delegowanego Komisji (UE) 2015/35 z dnia 10 października 2014 roku (dalej „Rozporządzenie Delegowane”), - Wytycznych dotyczących sprawozdawczości i publicznego ujawniania informacji (EIOPA-Bos-15/109). W niniejszym sprawozdaniu pod pojęciem „Sprawozdanie finansowe” lub „Sprawozdanie statutowe” rozumie się Sprawozdanie finansowe Spółki sporządzone zgodnie z wymogami Ustawy z dnia 29 września 1994r. o rachunkowości (Dz. U. z 2016 r., poz. 1047 z późn. zm.) oraz wydanymi na jej na postawie aktami wykonawczymi, w szczególności Rozporządzenia Ministra Finansów z dnia 12 kwietnia 2016 roku w sprawie szczególnych zasad rachunkowości zakładów ubezpieczeń i zakładów reasekuracji (Dz.U. z 2016 roku, poz.562 z późn. zm.), określonymi dalej jako „polskie standardy rachunkowości”. Sprawozdanie składa się z części opisujących wyniki i działalność Towarzystwa, jego system zarządzania, profil ryzyka, wycenę do celów wypłacalności oraz zarządzanie kapitałem. Organem odpowiedzialnym za przedstawione informacje jest Zarząd Spółki. Ponadto Sprawozdanie zostało zaudytowane przez biegłego rewidenta oraz zatwierdzone przez Radę Nadzorczą Spółki. Wartości w niniejszym Sprawozdaniu są przedstawione w Polskich Nowych Złotych, dalej „PLN”, o ile nie wskazano inaczej, podane są po zaokrągleniu do tysiąca PLN, w związku z czym mogą wystąpić przypadki matematycznej niezgodności pomiędzy poszczególnymi notami Sprawozdania. Sprawozdanie zostało opublikowane na stronie internetowej Towarzystwa. Działalność i wyniki operacyjne: Open Life Towarzystwo Ubezpieczeń Życie S.A. prowadzi działalność wyłącznie na polskim rynku w zakresie ubezpieczeń na życie. Podstawowym składnikiem portfela są ubezpieczenia związane z wartością indeksu i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym. Spółka również intensywnie zwiększa udział produktów ochronnych w sprzedaży, w tym ubezpieczeń grupowych. Na koniec 2018 roku Towarzystwo osiągnęło zysk według polskich standardów rachunkowości (zwane dalej „PSR”) w wysokości 11,2 mln PLN. W 2017 roku Towarzystwo również osiągnęło zysk w wysokości 6,4 mln PLN. Na koniec IV kw. 2018 roku udział Open Life w rynku ubezpieczeń na życie wyniósł 7,26% co plasuje Spółkę na 3 pozycji pod względem wielkości składki przypisanej brutto1.;12.04.2019;1;1;93;117
1;33.0;;E.2.2 Minimalny wymóg kapitałowy;kapitałowy Minimalny wymóg kapitałowy (MCR – Minimum Capital Requirement) – odpowiada kwocie dopuszczonych podstawowych środków własnych, poniżej której – przy założeniu kontynuacji wykonywania działalności przez zakład ubezpieczeń – ubezpieczający, ubezpieczeni lub uprawnieni z umów ubezpieczenia mogliby być narażeni na niedopuszczalny poziom ryzyka. Na dzień 31 grudnia 2018 roku: ;12.04.2019;1;1;93;117
2;32.0;;E.1.3 Kapitał własny w sprawozdaniu statutowym a nadwyżka aktywów nad zobowiązaniami wg Wypłacalność II;II Na dzień 31 grudnia 2018 roku w porównaniu ze stanem na dzień 31 grudnia 2017 roku nadwyżka aktywów nad zobowiązaniami wyniosła: tys. PLN;12.04.2019;1;1;93;117
3;32.0;;E.1.2 Klasyfikacja środków własnych;własnych Środki własne dla celów wypłacalności obejmują sumę: ;12.04.2019;1;1;93;117
4;28.0;;D.3.5 Zobowiązania podporządkowane;podporządkowane Na dzień 31 grudnia 2018 r. Spółka nie posiadała zobowiazań podporządkowanych. Zgodnie z informacjami zawartymi w niniejszym sprawozdaniu w III kw. 2018 r. pożyczki podporządkowane zostały spłacone, po wcześniejszym uzyskaniu zgody Organu Nadzoru. D.4 Alternatywne metody wyceny;12.04.2019;1;1;93;117
5;28.0;;D.3.4 Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej);ubezpieczeniowej) W pozycji Pozostałe zobowiązania do celów wypłacalności Towarzystwo ujmuje: ;12.04.2019;1;1;93;117
6;28.0;;D.3.3 Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych;ubezpieczeniowych Zobowiązania z ubezpieczeń bezpośrednich do celów wypłacalności obejmują w szczególności zobowiązania wobec ubezpieczających, ubezpieczonych, uposażonych, koasekuratorów, pośredników ubezpieczeniowych, w zakresie w jakim nie zostały uwzględnione w rezerwach techniczno-ubezpieczeniowych. Zobowiązania z tytułu prowadzonej działalności ubezpieczeniowej obejmują kwoty wymagalne do dnia 31 grudnia 2017 roku w porównaniu z 31 grudnia 2016 roku. Zobowiązania wobec pośredników z przyszłym terminem wymagalności uwzględniane są w kalkulacji rezerw techniczno-ubezpieczeniowej. Zobowiązania z tytułu ubezpieczeń bezpośrednich są wyceniane w wartości godziwej przy zastosowaniu alternatywnych metod wyceny na podstawie szacowanych przepływów pieniężnych zdyskontowanych do wartości bieżącej za pomocą rynkowej stopy procentowej wolnej od ryzyka. Towarzystwo grupuje zobowiązania pod względem terminów ich wymagalności, a następnie dyskontuje. Na podstawie historycznej analizy wiekowania i zapadalności większość zobowiązań Towarzystwa spłacana jest w terminach powyżej 12 miesięcy, gdyż płatności dokonywane są ratalnie. W kalkulacji nie uwzględnia się ryzyka kredytowego Towarzystwa, jak również nie dyskontuje się zobowiązań przewidzianych do rozliczenia w terminie 12 miesięcy licząc od dnia bilansowego. Open Life Towarzystwo Ubezpieczeń Życie S.A.;12.04.2019;1;1;93;117
7;28.0;;D.3.2 Rezerwy z tytułu odroczonego podatku dochodowego;dochodowego Rezerwę z tytułu odroczonego podatku dochodowego Towarzystwo tworzy zgodnie z informacjami zaprezentowanymi w rozdziale D.1.1. niniejszego sprawozdania. Dane dotyczące rezerwy z tytułu odroczonego podatku na dzień 31 grudnia 2018 roku oraz na dzień 31 grudnia 2017 roku prezentuje tabela: tys. PLN;12.04.2019;1;1;93;117
8;27.0;;D.2.6 Opis udziału reasekuratora i spółek celowych (podmiotów specjalnego przeznaczenia) w rezerwach techniczno-ubezpieczeniowych;techniczno-ubezpieczeniowych Ze względu na marginalny wpływ reasekuracji na działalność zakładu ubezpieczeń, rezerwy techniczno-ubezpieczeniowe na udziale reasekuratora nie są modelowane. Po stronie aktywów bilansu uwzględniono udział reasekuratora w wysokości równej udziałowi reasekuratora w rezerwach dla celów Sprawozdania Statutowego. Ze względu na bardzo małą istotność rozliczeń reasekuracyjnych Spółka zastosowała uproszczenie w postaci braku naliczenia korekty z tytułu niewykonania zobowiązania przez kontrahenta (reasekuratora), o którym mowa w art. 42 Rozporządzenia Delegowanego. Kwoty należne z umów reasekuracji, na dzień 31 grudnia 2018 roku, wynosiły 112 tys. PLN. Na dzień 31 grudnia 2018 roku Towarzystwo nie posiada spółek celowych (spółek specjalnego przeznaczenia). D.3 Inne zobowiązania;12.04.2019;1;1;93;117
9;27.0;;D.2.5 Oświadczenia dotyczące stosowania korekt i środków przejściowych w wyliczeniu rezerw techniczno-ubezpieczeniowych ; W wyliczeniu rezerw techniczno-ubezpieczeniowych nie jest stosowana korekta dopasowująca, o której mowa w art. 77b Dyrektywy, ;12.04.2019;1;1;93;117
10;27.0;;D.2.4 Różnice między zasadami i metodami wyceny rezerw techniczno-ubezpieczeniowych na potrzeby określenia wypłacalności i stosowanymi na potrzeby ich wyceny w sprawozdaniach finansowych;finansowych Występuje kilka przyczyn różnic między wyceną rezerw techniczno-ubezpieczeniowych na potrzeby określenia wypłacalności i stosowanymi w sprawozdaniu statutowym. Rezerwy wyliczane na potrzeby określania wypłacalności nie zawierają narzutów ostrożnościowych, podczas gdy narzuty takie są uwzględniane w rezerwach tworzonych na potrzeby sprawozdania statutowego. Podsumowanie najistotniejszych różnic między stosowanymi przez Spółkę zasadami i metodami oraz przyjmowanymi głównymi założeniami do wyceny rezerw na potrzeby określenia wypłacalności, a stosowanymi na potrzeby ich wyceny w sprawozdaniach statutowych: ;12.04.2019;1;1;93;117
11;27.0;;D.2.3 Opis poziomu niepewności związanej z wartością rezerw techniczno-ubezpieczeniowych;techniczno-ubezpieczeniowych Prognoza przepływów pieniężnych wykorzystywana przy obliczaniu najlepszego oszacowania uwzględnia niepewności przepływów pieniężnych, w tym wszystkie następujące właściwości: ;12.04.2019;1;1;93;117
12;27.0;;D.2.2 Opis stosowanych zasad i metod do wyceny rezerw techniczno-ubezpieczeniowych na potrzeby określenia wypłacalności;wypłacalności Wartość rezerw techniczno-ubezpieczeniowych dla celów wypłacalności, ustala się zgodnie z Art. 224 i 225 Ustawy Ubezpieczeniowej, jako sumę wartości najlepszego oszacowania oraz marginesu ryzyka. Stosowane w Towarzystwie zasady i metody wyceny najlepszego oszacowania oraz marginesu ryzyka są również zgodne z zasadami określonymi w Rozporządzeniu Delegowanym. Spółka stosuje alokację najlepszego oszacowania oraz marginesu ryzyka do poszczególnych linii biznesowych, określonych w Rozporządzeniu Delegowanym. Poszczególne produkty ubezpieczeniowe klasyfikuje się do linii biznesowych zgodnie z dominującą charakterystyką produktu. D.2.2.1;12.04.2019;1;1;93;117
13;26.0;;D.1.5 Środki pieniężne i ekwiwalenty środków pieniężnych;pieniężnych Środki pieniężne to aktywa pieniężne w formie krajowych środków płatniczych, walut obcych i dewiz, znajdujące się w obrocie gotówkowym lub w obrocie następującym za pośrednictwem bieżących rachunków bankowych. Zalicza się do nich gotówkę w kasie oraz depozyty płatne na żądanie. W pozycji bilansu „Środki pieniężne” ujmuje się również ekwiwalenty środków pieniężnych. Ekwiwalenty środków pieniężnych są to te aktywa pieniężne, nie zaliczane do środków pieniężnych. Wartość godziwą środków pieniężnych ustala się na podstawie ich wartości nominalnej z uwzględnieniem naliczonych odsetek, z uwzględnieniem ryzyka kredytowego banku, w którym przechowywane są środki pieniężne. Open Life Towarzystwo Ubezpieczeń Życie S.A.;12.04.2019;1;1;93;117
