DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
11.09.2015;1;1;1;1;6;120
11.09.2015;1;1;2;1;2;120
11.09.2015;1;1;3;0;0;120
11.09.2015;1;1;4;0;0;120
11.09.2015;1;1;5;0;0;120
11.09.2015;1;1;6;1;1;120
11.09.2015;1;1;7;0;0;120
11.09.2015;1;1;8;1;1;120
11.09.2015;1;1;9;1;1;120
11.09.2015;1;1;10;1;2;120
11.09.2015;1;1;11;1;3;120
11.09.2015;1;1;12;1;7;120
11.09.2015;1;1;13;1;2;120
11.09.2015;1;1;14;0;0;120
11.09.2015;1;1;15;1;17;120
11.09.2015;1;1;16;0;0;120
11.09.2015;1;1;17;0;0;120
11.09.2015;1;1;18;1;35;120
11.09.2015;1;1;19;1;18;120
11.09.2015;1;1;20;1;9;120
11.09.2015;1;1;21;1;1;120
11.09.2015;1;1;22;1;15;120
11.09.2015;1;1;23;1;8;120
11.09.2015;1;1;24;0;0;120
11.09.2015;1;1;25;1;1;120
11.09.2015;1;1;26;1;3;120
11.09.2015;1;1;27;1;5;120
11.09.2015;1;1;28;1;12;120
11.09.2015;1;1;29;1;14;120
11.09.2015;1;1;30;1;22;120
11.09.2015;1;1;31;0;0;120
11.09.2015;1;1;32;1;256;120
11.09.2015;1;1;33;0;0;120
11.09.2015;1;1;34;1;1;120
11.09.2015;1;1;35;1;4;120
11.09.2015;1;1;36;1;2;120
11.09.2015;1;1;37;0;0;120
11.09.2015;1;1;38;0;0;120
11.09.2015;1;1;39;1;2;120
11.09.2015;1;1;40;0;0;120
11.09.2015;1;1;41;1;5;120
11.09.2015;1;1;42;1;1;120
11.09.2015;1;1;43;1;6;120
11.09.2015;1;1;44;1;5;120
11.09.2015;1;1;45;1;5;120
11.09.2015;1;1;46;0;0;120
11.09.2015;1;1;48;1;5;120
11.09.2015;1;1;49;1;1;120
11.09.2015;1;1;50;1;1;120
11.09.2015;1;1;51;0;0;120
11.09.2015;1;1;52;0;0;120
11.09.2015;1;1;53;0;0;120
11.09.2015;1;1;54;0;0;120
11.09.2015;1;1;55;1;5;120
11.09.2015;1;1;56;0;0;120
11.09.2015;1;1;57;0;0;120
11.09.2015;1;1;58;1;2;120
11.09.2015;1;1;59;0;0;120
11.09.2015;1;1;60;0;0;120
11.09.2015;1;1;61;0;0;120
11.09.2015;1;1;62;1;7;120
11.09.2015;1;1;63;0;0;120
11.09.2015;1;1;64;0;0;120
11.09.2015;1;1;65;0;0;120
11.09.2015;1;1;66;0;0;120
11.09.2015;1;1;67;0;0;120
11.09.2015;1;1;68;0;0;120
11.09.2015;1;1;69;1;8;120
11.09.2015;1;1;70;0;0;120
11.09.2015;1;1;71;0;0;120
11.09.2015;1;1;72;0;0;120
11.09.2015;1;1;73;0;0;120
11.09.2015;1;1;74;1;3;120
11.09.2015;1;1;75;1;2;120
11.09.2015;1;1;76;0;0;120
11.09.2015;1;1;77;1;5;120
11.09.2015;1;1;78;0;0;120
11.09.2015;1;1;79;0;0;120
11.09.2015;1;1;80;0;0;120
11.09.2015;1;1;81;0;0;120
11.09.2015;1;1;82;0;0;120
11.09.2015;1;1;83;0;0;120
11.09.2015;1;1;84;1;1;120
11.09.2015;1;1;85;1;1;120
11.09.2015;1;1;86;0;0;120
11.09.2015;1;1;87;1;2;120
11.09.2015;1;1;88;0;0;120
11.09.2015;1;1;90;1;7;120
11.09.2015;1;1;91;1;13;120
11.09.2015;1;1;92;1;4;120
11.09.2015;1;1;93;1;6;120
11.09.2015;1;1;94;1;2;120
11.09.2015;1;1;95;1;2;120
11.09.2015;1;1;96;1;223;120
11.09.2015;1;1;97;0;0;120
11.09.2015;1;1;98;0;0;120
11.09.2015;1;1;99;1;4;120
