;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;Podsumowanie PodsumowaniePodstawa sporządzenia;o wypłacalności i kondycji finansowej PKO Życie Towarzystwo Ubezpieczeń S.A. na dzień 31 grudnia 2016 roku oraz za rok obrotowy zakończony tego dnia, zwane dalej „Sprawozdaniem” zostały przygotowane w celu wypełnienia wymogów art. 284 Ustawy. Sprawozdanie zostało przygotowane zgodnie z mającymi zastosowanie przepisami Ustawy, Aktu Delegowa-nego, Rozporządzenia wykonawczego oraz Wytycznymi EIOPA. Wycena aktywów i zobowiązań (w tym rezerw techniczno-ubezpieczeniowych) została wykonana w oparciu o przepisy Ustawy, Aktu Delegowanego oraz Wytycznych EIOPA, a przyjęte zasady zostały opisane w części D Sprawozdania. Wartość środków własnych została ustalona na podstawie Ustawy, Aktu Delegowanego oraz Wytycznych EIOPA w sprawie klasyfikacji środków własnych. SCR obliczany jest na podstawie formuły standardowej w oparciu o zasady opisane w Ustawie, Akcie Delegowanym oraz Wytycznych EIOPA. Wszystkie obliczenia dotyczące poszczególnych modułów i podmodułów ryzyka oparto na metodach określonych w Akcie Delegowanym.Sprawozdanie obejmuje rok 2016 i prezentuje dane według stanu na dzień 31 grudnia 2016 roku. Sprawozdanie zostało przygotowane z uwzględnieniem wszystkich dostępnych danych według stanu na dzień 31 grudnia 2016 roku, przy czym opisano istotne zmiany, które nastąpiły w działalności PKO Życie Towarzystwa Ubezpieczeń S.A. do daty sporządzenia Sprawozdania. W Sprawozdaniu zostały zaprezentowane dane Towarzystwa w tysiącach złotych. W raporcie od-niesiono się do wymagań regulacji opisanych powyżej, w takim zakresie, w jakim dotyczą one Towarzystwa. W przypadku braku odniesienia do konkretnego artykułu, oznacza to, że ujawnienia w jego zakresie nie mają zastosowania.Sprawozdanie składa się z następujących części:• Podsumowanie• A. Działalność i wyniki operacyjne,• B. System zarządzania,• C. Profil ryzyka,• D. Wycena dla celów wypłacalności,• E. Zarządzanie kapitałem,• Załączniki – roczne dane i informacje ilościowe. Niniejsze Sprawozdanie było przedmiotem badania przez podmiot uprawniony do badania sprawozdań finansowych.Streszczenie zarządcze;10.10.2014;1;1;27;122
1;33.0;;E.2.2 Minimalny wymóg kapitałowy;kapitałowyMinimalny wymóg wypłacalności oraz jego składowe zostały zaprezentowane w tabeli poniżej.Tabela E.2.2. Minimalny wymógł kapitałowy (w tys. zł)Wartość na dzień;10.10.2014;1;1;27;122
2;32.0;;E.1.5 Wyjaśnienie rezerwy uzgodnieniowej;uzgodnieniowejZgodnie ze stanem na dzień 31.12.2016r. rezerwa uzgodnieniowa wyniosła 94 324 tys. zł. Do najistotniejszych elementów składowych rezerwy uzgodnieniowej należą:• Rezerwy techniczno-ubezpieczeniowe / Rezerwy techniczno-ubezpieczeniowe obliczane łącznie jako najlepsze oszacowanie oraz margines ryzyka – zmiany wynikają z zastąpienia pozycji rezerwy techniczno-ubezpieczeniowe brutto w bilansie statutowym wartościami najlepszego oszacowania oraz marginesu ryzyka zgodnie z bilansem dla celów wypłacalności (zgodnie z Rozdziałem 3 Rozporządzenia Delegowanego Komisji Europejskiej z dnia 10 października 2014 r.). Ujęcie rezerw techniczno-ubezpieczeniowych zostało szczegółowo opisane w punkcie D.2.• Aktywowane koszty akwizycji – różnica wynika z faktu, iż w bilansie dla celów wypłacalności wykazywane są one w wartości zero, jako koszty w części przypadającej na przyszłe okresy sprawozdawcze, zgodnie z zasadami ogólnymi wyceny przedstawionymi w art. 9 Rozporządzenia Delegowanego Komisji Europejskiej z dnia 10 października 2014 r. Należy tutaj mieć na uwadze postanowienia zawarte w MSSF 4. Podejście to zostało opisane w punkcie D.1.1.E.2 Kapitałowy wymóg wypłacalności i minimalny wymóg kapitałowy;10.10.2014;1;1;27;122
3;32.0;;E.1.3 Różnice w wartości kapitału dla celów statutowych a celów wypłacalności;wypłacalnościRóżnice w wartości kapitału wykazywanego dla celów statutowych w porównaniu z nadwyżką aktywów nad zobowiązaniami obliczoną dla celów wypłacalności wynikają przede wszystkim z faktu, iż Towarzystwo podczas tworzenia bilansu statutowe-go stosuje politykę opartą na Ustawie o rachunkowości. Metody wyceny zawarte w ustawie w znacznym stopniu różnią się od tych stosowanych dla celów wypłacalności, które z kolei bliższe są w swojej wykładni do Międzynarodowych Standardów Sprawozdawczości Finansowej. Ponadto Rozporządzenie Delegowane Komisji Europejskiej z dnia 10 października 2014r. ściśle określa podejście do wyceny poszczególnych składników bilansu, wprowadzając inne metody wyceny i podziału jego skła-dowych. Szczegółowe informacje ilościowe w zakresie korekt dla poszczególnych pozycji bilansu ekonomicznego znajdują się w rozdziale D. Tabela E.1.2. Różnice w wartości kapitału dla celów statutowych a celów wypłacalności w PKO Życie SA (w tys. zł)Wartość na dzień;10.10.2014;1;1;27;122
4;32.0;;E.1.2 Informacja dotycząca struktury środków własnych;własnychŚrodki własne na potrzeby adekwatności kapitałowej wyliczane są zgodnie z przepisami zawartymi w ustawie Środki własne Towarzystwa składają się tylko z kapitału podstawowego Kategorii 1. Kapitał zakładowy oraz nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z kapitałem zakładowym w danym okresie sprawozdawczym tj. w trakcie 2016 roku nie uległy zmianom.Struktura środków własnych w Spółce zgodnie ze stanem na 31 grudnia 2016 roku prezentuje się następująco:• Kategoria 1 podstawowych środków własnych, to: –Nadwyżka aktywów nad zobowiązaniami (245 979 tys. zł) –Opłacony kapitał zakładowy (147 332 tys. zł) –Rezerwa uzgodnieniowa (94 324 tys. zł)Spółka nie posiada innych kategorii środków własnych w swojej strukturze kapitałowejW poniższej tabeli zaprezentowano strukturę środków własnych Towarzystwa w ujęciu wartościowym zgodnym ze stanem na dzień 31.12.2016 r.Tabela E.1.1. Struktura środków własnych w PKO Życie SA (w tys. zł)Wartość na dzień;10.10.2014;1;1;27;122
5;28.0;;D.3.6 Pozostałe zobowiązania (niewykazane w innych pozycjach);pozycjach)W bilansie ekonomicznym w pozostałych zobowiązaniach niewykazanych w innych pozycjach Towarzystwo prezentuje głównie zobowiązania wobec Skarbu Państwa (podatki, ZUS).Metodyka wyceny jest analogiczna jak w przypadku pozostałych zobowiązań (handlowe, inne niż z tytułu działalności ubezpie-czeniowej). W pozycji tej w kolumnie „Wartość wg PSR” zostały zaprezentowane saldo funduszy specjalnych (ZFŚS) w wysokości 154 tys. zł., które podlega eliminacji w bilansie ekonomicznym w ramach korekt wyceny do wartości godziwej. Poza tą korektą, na dzień 31.12.2016 nie zidentyfikowano innych istotnych korekt w stosunku do danych wg PSR. 58Sprawozdanie o wypłacalności i kondycji finansowej PKO Życie Towarzystwo Ubezpieczeń S.A.;10.10.2014;1;1;27;122
6;28.0;;D.3.5 Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej);ubezpieczeniowej)W zakresie pozostałych zobowiązań (handlowe, inne niż z tytułu działalności ubezpieczeniowej) Towarzystwo w bilansie ekono-micznym prezentuje zobowiązania handlowe, kwoty należne pracownikom i dostawcom, których termin lub kwota są pewne.W bilansie ekonomicznym Towarzystwo wycenia zobowiązania z tytułu reasekuracji alternatywną metodą wyceny opisaną w pkt D.4.W bilansie statutowym Towarzystwo wycenia pozostałe zobowiązania w kwocie wymagającej zapłaty.Na dzień 31.12.2016 Spółka nie identyfikowała różnicy w wycenie innych zobowiązań na potrzeby bilansu ekonomicznego w stosunku do sprawozdania finansowego. D.3.6 Pozostałe zobowiązania (niewykazane w innych pozycjach);10.10.2014;1;1;27;122
7;28.0;;D.3.4 Zobowiązania z tytułu reasekuracji biernej;biernejW pozycji tej ujmowane są wymagalne zobowiązania z tytułu reasekuracji. Zobowiązania nieprzeterminowane ujmowane są w wycenie pozycji „Kwoty należne z umów reasekuracji” jako przyszłe przepływy pieniężne. W bilansie statutowym zobowiązania z tytułu reasekuracji obejmują kwoty zarówno wymagalne i niewymagalne a ich wycena następuje wg wartości wymagającej zapłaty.Na dzień 31.12.2016 100% zobowiązań stanowiło zobowiązania niewymagalne i dlatego zostały uwzględnione jako przyszłe przepływy pieniężne w kwotach należnych z umów reasekuracji.D.3.5 Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności;10.10.2014;1;1;27;122
8;28.0;;D.3.3 Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych;ubezpieczeniowychW ramach omawianej linii sprawozdawczej prezentowane są jedynie wymagalne (przeterminowane) składniki zobowiązań. Składniki niewymagalne (nieprzeterminowane) ujmowane są w najlepszym oszacowaniu rezerw (BEL), jako przyszłe przepływy pieniężne. W bilansie ekonomicznym Towarzystwo wycenia zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych alternatywną metodą wyceny opisaną w punkcie D4. 57Sprawozdanie o wypłacalności i kondycji finansowej PKO Życie Towarzystwo Ubezpieczeń S.A.;10.10.2014;1;1;27;122
9;28.0;;D.3.2 Rezerwy z tytułu odroczonego podatku dochodowego;dochodowegoDla celów wypłacalności Towarzystwo ujmuje i wycenia podatki odroczone stosownie do art. 15 Rozporządzenia Delegowane-go Komisji (UE). Spółka rozpoznaje podatek odroczony w ujęciu netto jako aktywo lub rezerwę z tytułu odroczonego podatku dochodowego. Podstawą do rozpoznania podatku odroczonego na bilansie ekonomicznym są dwa elementy.Pierwszym, bazowym składnikiem jest podatek odroczony rozpoznany w sprawozdaniu finansowym zgodnie z obowiązującymi w Towarzystwie zasadami rachunkowości. Drugim składnikiem podatku odroczonego na bilansie ekonomicznym są różnice przejściowe (w tabeli w kolumnie korekta wyceny) pomiędzy bilansem, będącym częścią sprawozdania finansowego Towarzy-stwa, a bilansem ekonomicznym.D.3.3 Zobowiązania z tytułu ubezpieczeń i wobec pośredników;10.10.2014;1;1;27;122
