FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ;KOD ZAKLADU;WERSJA SFCR;DATA SFCR;ID_TAB;TRZECI WYMIAR KRAJ
S.05.01.02.01;R0110;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0030;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0040;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0050;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0060;1573.0;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0070;46472.0;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0080;2944.0;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0090;464.0;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0110;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0010;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0020;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0030;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0040;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0050;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0060;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0070;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0080;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0090;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0120;C0150;;27;1;11.09.2015;124;
