;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;"Podsumowanie podsumowanie, opis działalności i wyników operacyjnych, opis systemu zarządzania, informacje dotyczące profilu ryzyka, informacje dotyczące wyceny aktywów oraz pasywów do celów wypłacalności oraz opis zarządzania kapitałem, wykazujący dopuszczone środki własne oraz kapitałowy wymóg wypłacalności („sprawozdanie o wypłacalności i kondycji finansowej""). Odpowiedzialność Zarządu Zarząd Towarzystwa jest odpowiedzialny ";za sporządzenie;31.12.2017;1;1;52;129
1;33.0;;E.2.3 Minimalny wymóg kapitałowy (MCR);(MCR) Wartość minimalnego wymogu kapitałowego wyznaczonego na dzień 31;31.12.2017;1;1;52;129
2;33.0;;E.2.2 Informacje dotyczące obliczenia wymogu wypłacalności;wypłacalności Spółka nie;31.12.2017;1;1;52;129
3;33.0;;E.2.1 Kapitałowy wymóg wypłacalności;wypłacalności (SCR) Do wyznaczenia kapitałowego wymogu wypłacalności Spółka zastosowała formułę standardową. Najważniejszym modułem determinującym finalną;31.12.2017;1;1;52;129
4;32.0;;E.1.3 Uzgodnienie zmiany nadwyżki aktywów nad zobowiązaniami według Wypłacalność II Nadwyżka ze Zwykły sprzedaży Zmiany w roku obrotowym 2017 kapitał akcji . y . . . . Razem zakładowy powyżej ich a uzgoaniemowa wartości nominalnej Bilans otwarcia na dzień 1 stycznia 2017 169 180 6 005 0 130 195 305 380;380 Zysk netto 643 643 Zmiana kapitału z aktualizacji wyceny -373 -373 Wypłata dywidendy 0;31.12.2017;1;1;52;129
5;32.0;;E.1.2 Dopuszczalne środki własne - struktura, wartość i jakość;jakość Dopuszczalne środki własne składają;31.12.2017;1;1;52;129
6;30.0;;D.5.2 Pozostałe informacje;informacje Wszystkie istotne;31.12.2017;1;1;52;129
7;30.0;;D.5.1;D.5.1 Leasing 73 D.5.2 Pozostałe informacje;31.12.2017;1;1;52;129
8;27.0;;D.2.5 Kwoty należne;należne z tytułu;31.12.2017;1;1;52;129
9;27.0;;D.2.4 Opis różnic pomiędzy metodami i założeniami stosowanymi przy wycenie dla celów wypłacalności;wypłacalności a na;31.12.2017;1;1;52;129
10;27.0;;D.2.3 Opis poziomu niepewności związanej;związanej z wartością;31.12.2017;1;1;52;129
11;27.0;;D.2.2 Wartość rezerw techniczno-ubezpieczeniowych tworzonych dla celów wypłacalności;wypłacalności W tabeli;31.12.2017;1;1;52;129
12;27.0;;D.2.1;D.2.1 Opis podstaw,;31.12.2017;1;1;52;129
13;;;C4 1C4 i2 707 0 9t: 1 107 0 54 0 0 ;J 24;31.12.2017;1;1;52;129
14;22.0;;C.5.2 Zarządzanie ryzykiem operacyjnym i techniki jego ograniczania;ograniczania Proces zarządzania ryzykiem operacyjnym składa się szeregu czynności podejmowanych na poziomie poszczególnych jednostek;31.12.2017;1;1;52;129
15;20.0;;C.3.2 Zarządzenie ryzykiem kredytowym i techniki jego ograniczania;ograniczania Zarządzanie ryzykiem kredytowym w zakresie umów retrocesji odbywa się zgodnie z uchwaloną przez Zarząd i;31.12.2017;1;1;52;129
16;19.0;;C.2.2 Zarządzanie ryzykiem rynkowym oraz techniki jego ograniczania Pomiar i analiza ekspozycji na ryzyko;ryzyko Do pomiaru;31.12.2017;1;1;52;129
17;18.0;;C.1.2 Zarządzanie ryzykiem aktuarialnym i techniki jego ograniczania;ograniczania W Spółce funkcjonuje;31.12.2017;1;1;52;129
18;5.0;;A.3.4. Informacje dotyczące inwestycji związanych;związanych z sekurytyzacją;31.12.2017;1;1;52;129
19;5.0;;A.3.2. Przychody i koszty;koszty z działalności;31.12.2017;1;1;52;129
20;3.0;;A.1.5 Istotne linie biznesowe oraz obszary geograficzne,;geograficzne, w których;31.12.2017;1;1;52;129
21;3.0;;A.1.4 Informacje dotyczące udziałowców posiadających znaczne pakiety akcji Spółki;Spółki Jedynym akcjonariuszem Polskiego Towarzystwa Reasekuracji S.A. jest;31.12.2017;1;1;52;129
22;3.0;;A.1.3 Dane Biegłego Rewidenta Spółki;Spółki Biegłym Rewidentem Zakładu jest;31.12.2017;1;1;52;129
23;3.0;;A.1.2 Nazwa i dane kontaktowe organu nadzoru odpowiedzialnego;odpowiedzialnego za nadzór;31.12.2017;1;1;52;129
24;31.0;36.0;E.5 Niezgodność z minimalnym wymogiem kapitałowym i niezgodność z kapitałowym wymogiem wypłacalności;wypłacalności Spółka spełnia minimalny wymóg kapitałowy i kapitałowy wymóg wypłacalności za 2017;31.12.2017;1;1;52;129
25;31.0;35.0;E.4 Różnice między formułą standardową a stosowanym modelem wewnętrznym;wewnętrznym Spółka nie stosuje modelu wewnętrznego do wyznaczenia kapitałowego wymogu wypłacalności. 78 POLSKIE;31.12.2017;1;1;52;129
26;31.0;34.0;E.3 Zastosowanie podmodułu ryzyka cen akcji opartego na duracji do obliczenia kapitałowego wymogu wypłacalności;wypłacalności Spółka nie stosuje podmodułu ryzyka cen akcji opartego na duracji;31.12.2017;1;1;52;129
27;31.0;33.0;E.2 Kapitałowy wymóg wypłacalności i minimalny wymóg kapitałowy;kapitałowy Na dzień 31;31.12.2017;1;1;52;129
28;25.0;30.0;D.5 Wszelkie inne informacje;informacje D.5.1 Leasing Spółka nie ma istotnych umów leasingu operacyjnego i;31.12.2017;1;1;52;129
29;25.0;29.0;D.4 Alternatywne metody wyceny;wyceny Z uwagi na brak notowanych cen rynkowych w odniesieniu;31.12.2017;1;1;52;129
30;25.0;28.0;D.3 zobowiązania (handlowe, inne niż z tytułu ubezpieczeń i reasekuracji) ;Pozostałe zobowiązania stanowią zobowiązania nie dotyczące zawartych umów reasekuracji czynnej i;31.12.2017;1;1;52;129
31;25.0;27.0;D.2 techniczno-ubezpieczeniowych dla celów rachunkowości i pozostałych zobowiązań w sprawozdaniach finansowych. Na podstawie przeprowadzonego badania sprawozdania o wypłacalności i kondycji ;finansowej biegły;31.12.2017;1;1;52;129
32;25.0;26.0;D.1 aktywa (niewykazane w innych pozycjach) ;Pozostałe aktywa stanowią rozliczenia międzyokresowe czynne. Według zasad Wypłacalność II;31.12.2017;1;1;52;129
33;17.0;22.0;C.5 Ryzyko operacyjne;operacyjne C.5.1 Ocena ryzyka operacyjnego Ryzyko operacyjne jest;31.12.2017;1;1;52;129
34;17.0;21.0;C.4 Ryzyko płynności;płynności C.4.1 Ocena ryzyka płynności Ryzyko płynności to;31.12.2017;1;1;52;129
35;17.0;20.0;C.3 Ryzyko kredytowe;kredytowe C.3.1 Ocena ryzyka kredytowego (ryzyka niewykonania zobowiązania przez kontrahenta) Ryzyko niewykonania zobowiązania przez kontrahenta;31.12.2017;1;1;52;129
36;17.0;19.0;C.2 Ryzyko rynkowe;rynkowe C.2.1 Ocena ryzyka rynkowego Ryzyko rynkowe wynika z poziomu lub;31.12.2017;1;1;52;129
37;17.0;18.0;C.1 aktuarialne ;ubezpieczeń innych niż ubezpieczenia na życie, w 15%;31.12.2017;1;1;52;129
38;8.0;15.0;B.7 Outsourcing ;Stosowane przez Spółkę zasady outsourcingu określają warunki i;31.12.2017;1;1;52;129
39;8.0;13.0;B.5 Funkcja audytu wewnętrznego;w systemie zarządzania w 2017 roku W okresie od dnia 1;31.12.2017;1;1;52;129
40;8.0;12.0;B.4 System kontroli wewnętrznej;wewnętrznej W ramach systemu zarządzania funkcjonuje;31.12.2017;1;1;52;129
41;8.0;11.0;B.3 System zarządzania ryzykiem, w tym własna ocena ryzyka i wypłacalności;wypłacalności Przyjęte przez Spółkę kluczowe zasady zarządzania ryzykiem określają podejście do ryzyka, zakresy tolerancji;31.12.2017;1;1;52;129
42;8.0;10.0;B.2 Wymogi dotyczące kompetencji i reputacji;reputacji W celu zapewnia, iż członkowie Zarządu oraz osoby wykonujące czynności w ramach innych kluczowych funkcji;31.12.2017;1;1;52;129
43;2.0;7.0;A.5 Wszelkie inne informacje;informacje Spółka nie była stroną;31.12.2017;1;1;52;129
44;2.0;6.0;A.4 Wyniki z pozostałych rodzajów działalności;działalności W roku;31.12.2017;1;1;52;129
