;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;B3 System zarządzania ryzykiem, w tym wła-sna ocena ryzyka i wypłacalności B.3.1 Funkcja zarządzania ryzykiem;ryzykiemNa dzień 31 grudnia 2019 roku nadzór nad funkcją zarządzania ryzy-kiem Towarzystwo powierzyło Specjaliście ds. Zarządzania Ryzykiem, raportującemu do Członka Zarządu ds. ryzyka. Głównymi zadaniami funkcji zarządzania ryzykiem są:• Efektywne wdrażanie systemu zarządzania ryzykiem, w tym strategii zarządzania ryzykiem, polityk ryzyka, standardów biz-nesowych, procesów i procedur zarządzania ryzykiem,• Kierowanie procesami zarządzania ryzykiem należącymi do pro-cesów własnej oceny ryzyka i wypłacalności, w szczególności procesem identyfikacji, pomiaru, zarządzania, monitorowania i raportowania kluczowych ryzyk,• Przegląd i krytyczna ocena czynności należących do procesów zarządzania ryzykiem przeprowadzanych przez pracowników poszczególnych obszarów biznesowych, w szczególności pro-cesu identyfikacji, pomiaru, zarządzania, monitorowania i ra-portowania ryzyka operacyjnego,• Przegląd i krytyczna ocena czynności i decyzji związanych z po-dejmowaniem ryzyka oraz środków mitygujących podejmowa-nych przez właścicieli poszczególnych obszarów biznesowych Towarzystwa, • Raportowanie wyników procesów zarządzania ryzykiem do Za-rządu i Komitetu Audytu i Ryzyka,• Kierowanie procesem raportowania własnej oceny ryzyka i wy-płacalności do Zarządu i KNF.< Wróć do spisu treści;31.12.2019;1;1;95;138
1;12.0;;B.4.1 Funkcja zgodności z przepisami;przepisamiWedług stanu dnia 31 grudnia 2019 roku nadzór nad Funkcją zgod-ności z przepisami Towarzystwa sprawowany był przez Inspektora Ochrony Danych i ds. Compliance, raportującego do Prezesa Zarządu oraz do całego Zarządu. Zgodnie z wytycznymi KNF dotyczącymi Ładu Korporacyjnego, obowiązującymi od 1 stycznia 2015 roku, CCO ma bezpośredni dostęp do Zarządu i Rady Nadzorczej oraz może uczest-niczyć w posiedzeniach tych organów, jeżeli przedmiotem posiedzeń są zagadnienia związane z systemem kontroli wewnętrznej, funkcją audytu wewnętrznego lub compliance. Funkcja zgodności z przepisami obejmuje doradzanie Zarządowi i Radzie Nadzorczej w kwestii zgodności z przepisami oraz ocenę możliwego wpływu zmian otoczenia regulacyjnego na funkcjonowa-nie Towarzystwie oraz ocenę wpływu braku dostosowania się do no-wych regulacji oraz ocenę ryzyka związanego z nieprzestrzeganiem prawa.B.5 Funkcja audytu wewnętrznego;31.12.2019;1;1;95;138
2;11.0;;B.3.3 Proces własnej oceny ryzyka i wypłacalności;wypłacalnościProces własnej oceny ryzyka i wypłacalności Towarzystwa opiera się na szeregu procesów zarządzania ryzykiem przeprowadzanych regu-larnie w ciągu roku. Co najmniej raz w roku osoba nadzorująca funk-cję zarządzania ryzykiem przygotowuje raport ORSA podsumowują-cy wyniki i wnioski z przeprowadzonych procesów. W szczególności proces raportowania ORSA wspiera proces ustalania strategii oraz planowania biznesowego. Raport z przeprowadzenia własnej oceny ryzyka i wypłacalności jest zatwierdzany przez Zarząd Towarzystwa.Poszczególne procesy składające się na własną ocenę ryzyka i wypła-calności są zintegrowane ze strukturą organizacyjną i procesami de-cyzyjnymi Towarzystwa poprzez raportowanie wyników i wniosków z tych procesów do odpowiednich komitetów osadzonych w struk-turze organizacyjnej i zarządczej Towarzystwa. Następujące procesy składają się na własną ocenę ryzyka i wypłacal-ności Towarzystwa:• Proces zarządzania kapitałem, włączając alokację kapitału, mo-nitorowanie, raportowanie oraz testy stresu i analizy scenariu-szowe (raportowanie wyników do Zarządu i Komitetu Audytu i Ryzyka),• Proces ustanawiania strategii oraz planowania biznesowego (ra-portowanie wyników do Zarządu),• Proces zarządzania jakością danych (raportowanie wyników do Komitetu Jakości Danych),• Proces identyfikacji, pomiaru, monitorowania, zarządzania i ra-portowania kluczowych ryzyk (raportowanie wyników do Zarzą-du i Komitetu Audytu i Ryzyka),• Proces identyfikacji, pomiaru, monitorowania, zarządzania i ra-portowania ryzyk operacyjnych (raportowanie wyników do Ko-mitetu Ryzyk Operacyjnych),• Proces raportowania zdarzeń operacyjnych (raportowanie wyni-ków do Komitetu Ryzyk Operacyjnych).Ustalanie własnych potrzeb w zakresie wypłacalności;31.12.2019;1;1;95;138
3;11.0;;B.3.2 System zarządzania ryzykiem;ryzykiemW Towarzystwie istnieje system zarządzania ryzykiem obejmujący strategię zarządzania ryzykiem, polityki ryzyka, standardy biznesowe oraz procesy i procedury zarządzania ryzykiem służące do identyfi-kacji, pomiaru, zarządzania, monitorowania i raportowania ryzyka (na poziomie indywidualnym oraz zagregowanym), na które jest lub może być narażone Towarzystwo. System zarządzania ryzykiem jest efektywny i dobrze zintegrowany ze strukturą organizacyjną, struk-turą komitetów oraz z procesami decyzyjnymi Towarzystwa, z odpo-wiednim uwzględnieniem osób pełniących kluczowe funkcje.Strategia zarządzania ryzykiem, polityki ryzyka i standardy;31.12.2019;1;1;95;138
4;9.0;;B.1.6 Zasady dotyczące wynagradzania;wynagradzaniaTowarzystwo posiada regulacje wewnętrzne określające zasady wy-nagradzania Rady Nadzorczej, Zarządu, osób pełniących kluczowe funkcje w Towarzystwie oraz pracowników. System wynagradzania zapewnia konkurencyjność pakietu wynagrodzeń, który:• jest zgodny z odpowiednią praktyką rynkową,• wspiera realizację strategii Towarzystwa,• sprzyja rozwojowi i bezpieczeństwu działania Towarzystwa,• podkreśla wartości i zachowania obowiązujące w Towarzystwie.Towarzystwo poprzez swoją politykę wynagradzania wspiera reali-zację rocznych i długofalowych celów strategicznych. Programy wy-nagrodzeniowo–motywacyjne Towarzystwa mają na celu zachęcanie do:• rozważnego i roztropnego zarządzania sprawami Towarzystwa,• przestrzegania Kodeksu Etyki Biznesu Towarzystwa,• uczciwego traktowania klientów Towarzystwa przez jego pra-cowników, • przyjmowania przez pracowników Towarzystwa odpowiedzial-nej postawy wobec zarządzania ryzykiem w Towarzystwie.Towarzystwo stosuje system wynagrodzeń obejmujący zarówno sta-łe, jak i zmienne składniki wynagrodzenia, skomponowane w taki sposób, aby stały lub gwarantowany składnik stanowił odpowiednio wysoką część całkowitego wynagrodzenia, co ma na celu zapobie-gać nadmiernemu uzależnieniu pracowników od zmiennych skład-ników oraz pozwala stosować elastyczne zasady dotyczące premii, umożliwiające między innymi niewypłacanie zmiennego składnika wynagrodzenia.Towarzystwo stosuje strukturę wynagrodzeń zmiennych, która odpo-wiada następującym założeniom:• Struktura wynagrodzeń dla wszystkich pracowników Towarzy-stwa nie powinna zachęcać do podejmowania ryzyka wykra-czającego poza apetyt na ryzyko określony dla danej jednostki/obszaru, a w przypadku członków Zarządu musi obejmować cel (cele) związany z ryzykiem, którego realizacja będzie miała istot-ny wpływ na przyznanie i wysokość wynagrodzeń zmiennych dla poszczególnych osób,• Ustalając strukturę wynagradzania, należy unikać konfliktu in-teresów,• Ustalając strukturę wynagradzania, należy kierować się przede wszystkim uczciwym postępowaniem wobec klientów Towarzy-stwa. Struktura wynagradzania powinna zachęcać do jak naj-większej dbałości o klienta Towarzystwa. Nie powinna również stanowić zachęty do łamania zasad zawartych w Kodeksie Etyki Biznesu.Ponadto:• Ustalając wysokość zmiennego wynagrodzenia dla pracownika, należy uwzględnić wyniki Towarzystwa i jednostki biznesowej, w której pracuje dana osoba, wyniki tej osoby w stosunku do celów lub zadań wyznaczonych dla jej stanowiska oraz całkowi-te wynagrodzenie pracownika względem poziomu rynkowego,• Zmienne składniki wynagrodzenia członków Zarządu oraz osób pełniących kluczowe funkcje powinny być uzależnione w szcze-gólności od obiektywnych kryteriów, jakości zarządzania oraz uwzględniać długoterminowe aspekty działania i sposób reali-zacji celów strategicznych. Ustalając zmienne składniki wyna-grodzenia uwzględnia się także nagrody lub korzyści, w tym wynikające z programów motywacyjnych oraz innych progra-mów premiowych wypłaconych, należnych lub potencjalnie na-leżnych,• Towarzystwo przy ustalaniu programów bonusowych może także stosować odroczenia wypłaty części bonusów, mając na względzie przyjęte długofalowe cele Towarzystwa i poziom ich realizacji,• Polityka i zasady wynagradzania członków Rady Nadzorczej, członków Zarządu oraz osób pełniących kluczowe funkcje od-powiadają wymogom dokumentowania i raportowania z po-wszechnie obowiązujących przepisów prawa,• Wynagrodzenie z tytułu pełnienia funkcji w Radzie Nadzorczej przysługuje wyłącznie niezależnym Członkom Rady Nadzorczej,• Wynagrodzenie niezależnych Członków Rady Nadzorczej usta-la się adekwatnie do pełnionej funkcji. Niezależni Członkowie Rady Nadzorczej powołani do pracy w komitetach, w tym w Komitecie Audytu i Ryzyka, wynagradzani są adekwatnie do do-datkowych zadań wykonywanych w ramach danego komitetu,• Wynagrodzenie niezależnych Członków Rady Nadzorczej ustala-ne jest przez Walne Zgromadzenie,• Towarzystwo nie posiada dodatkowych programów emerytal-no-rentowych lub programów wcześniejszych emerytur dla członków organu administrującego, zarządzającego lub nadzor-czego i innych osób nadzorujących kluczowe funkcje.Informacje dotyczące istotnych transakcji zawartych w okre-;31.12.2019;1;1;95;138
5;9.0;;B.1.5 Struktura komitetów;komitetówSystem zarządzania (w szczególności w odniesieniu do zarządzania ryzykiem) jest zorganizowany poprzez strukturę Komitetów, których zadaniem jest wspieranie wydajnych i transparentnych procesów po-dejmowania decyzji. Regulaminy Komitetów określają zakres upraw-nień, cel, role, zakres odpowiedzialności, standardowy porządek po-siedzenia i częstotliwość spotkań Komitetów.Komitety są podzielone na:• Komitety przy Radzie Nadzorczej, których rolą jest informowanie i wspieranie Rady Nadzorczej w pełnieniu swojej funkcji nadzorczej: •;31.12.2019;1;1;95;138
6;9.0;;B.1.4 Alokacja odpowiedzialności i delegowanie uprawnień;uprawnieńStruktura organizacyjna przewiduje wewnętrzny podział odpowie-dzialności za wszystkie obszary działalności pomiędzy Członków Za-rządu.Dwóch Członków Zarządu działając w imieniu Towarzystwa może umocować pracowników Towarzystwa i inne osoby fizyczne bądź prawne do reprezentowania Towarzystwa i podejmowania określo-nych w umocowaniu decyzji w imieniu Towarzystwa w określonych sprawach. Zarząd jest kierownikiem Towarzystwa w rozumieniu przepisów o rachunkowości i kieruje podległymi jednostkami orga-nizacyjnymi.W celu realizacji określonych zadań Zarząd może powoływać zespoły - stałe i doraźne składające się z przedstawicieli jednostek organiza-cyjnych. Nazwa zespołu stałego, jego skład, zasady i zakres działania oraz zakres kompetencji są określane uchwałą Zarządu.B.1.5 Struktura komitetów;31.12.2019;1;1;95;138
7;9.0;;B.1.3 Zarząd;ZarządZarząd prowadzi sprawy Towarzystwa i reprezentuje je. Wszelkie sprawy, nie zastrzeżone na mocy przepisów prawa lub statutu To-warzystwa do kompetencji ego innych organów, należą do zakresu działania Zarządu. Do zadań Zarządu należy m.in.:• Wdrażanie Planu Biznesowego,• Zapewnianie realizacji celów określonych w Rocznym Budżecie,• Ścisła współpraca z Santander Bank Polska S.A. w celu realizacji celów Spółki,• Wybór podmiotów odpowiedzialnych za zarządzanie aktywami Spółki,• Zawieranie umów reasekuracji, • Zawieranie innych umów w imieniu Spółki,• Udzielanie i odwoływanie prokur i pełnomocnictw,• Podejmowanie decyzji w innych sprawach wniesionych przez Członków Zarządu lub inne uprawnione organy,• Opracowywanie i zatwierdzanie regulaminów wewnętrznych określających sposób prowadzenia działalności ubezpieczenio-wej, jak i innych regulaminów wymaganych przepisami prawa, chyba że kompetencja ta została zastrzeżona postanowieniem Statutu dla Rady lub Walnego Zgromadzenia.Na dzień 31 grudnia 2019 struktura Zarządu* wraz z przypisaniem odpowiedzialności prezentowała się następująco: Wioletta Macnar;31.12.2019;1;1;95;138
8;9.0;;B.1.2 Rada Nadzorcza;NadzorczaRada Nadzorcza sprawuje stały nadzór nad działalnością Spółki we wszystkich jej dziedzinach, w sposób zgodny ze Statutem, obowią-zującymi przepisami prawa i wymogami regulacyjnymi oraz obo-wiązującymi zasadami ładu korporacyjnego. Rada Nadzorcza działa na podstawie kodeksu spółek handlowych, ustawy o działalności ubezpieczeniowej i reasekuracyjnej, Statutu oraz Regulaminu Rady Nadzorczej. Do szczególnych obowiązków Rady należy ocena spra-wozdań finansowych oraz wniosków Zarządu dotyczących podziału zysku albo pokrycia straty, a także składanie Walnemu Zgromadzeniu corocznego pisemnego sprawozdania z wyników tej oceny. Zgodnie z postanowieniami Statutu i Regulaminu Rady Nadzorczej, Zarząd konsultuje się z tym organem w kluczowych dla Spółki sprawach, a określone decyzje wymagają zgody Rady. Rada Nadzorcza działa kolegialnie, m.in. podejmuje uchwały, wydaje zalecenia i opinie oraz wnioskuje do Walnego Zgromadzenia. W celu prawidłowego wykonywania swoich obowiązków Rada Nadzorcza otrzymuje od Zarządu regularne i wyczerpujące informacje o wszyst-kich istotnych sprawach dotyczących Spółki oraz o ryzyku związanym z prowadzoną działalnością i sposobach zarządzania ryzykiem. Rada Nadzorcza może badać wszystkie dokumenty Spółki, żądać od Zarządu i pracowników sprawozdań i wyjaśnień oraz dokonywać re-wizji stanu majątku Spółki. Na dzień 31 grudnia 2019 w skład Rady Nadzorczej wchodzili:• Maciej Jankowski – Przewodniczący Rady Nadzorczej,• Arkadiusz Przybył – Członek Rady Nadzorczej,• Francisco del Cura Ayuso – Członek Rady Nadzorczej,• Adam Śliwiński – Członek Rady Nadzorczej,• Marcin Murawski – Członek Rady Nadzorczej,• Ewa Jac – Członek Rady Nadzorczej,• Agnieszka Wieczorek - Nowak - Członek Rady Nadzorczej.Skład Komitetu Audytu i Ryzyka Spółki na dzień bilansowy stanowiły następujące osoby:• Marcin Murawski – Przewodniczący Komitetu (niezależny),• Adam Śliwiński – Członek Komitetu (niezależny),• Ewa Jac – Członek Komitetu. Santander Aviva Towarzystwo;31.12.2019;1;1;95;138
9;9.0;;B.1.1 Struktura organizacyjna;organizacyjnaZgodnie z zasadami określonymi w Ustawie o działalności ubezpie-czeniowej i reasekuracyjnej, system zarządzania opiera się na czte-rech kluczowych funkcjach: • Funkcji zarządzania ryzykiem,• Funkcji zgodności z przepisami,• Funkcji audytu wewnętrznego - czynności audytu wewnętrzne-go zostały zlecone na zewnątrz na podstawie umowy zlecenia usług audytu zawartej z Aviva Sp. z o.o. oraz Santander Bank Polska S.A.,• Funkcji aktuarialnej. < Wróć do spisu treści;31.12.2019;1;1;95;138
