DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2021;1;1;1;1;9;140
31.12.2021;1;1;2;1;1;140
31.12.2021;1;1;3;1;3;140
31.12.2021;1;1;4;1;1;140
31.12.2021;1;1;5;1;3;140
31.12.2021;1;1;6;1;1;140
31.12.2021;1;1;7;1;1;140
31.12.2021;1;1;8;0;0;140
31.12.2021;1;1;9;1;2;140
31.12.2021;1;1;10;0;0;140
31.12.2021;1;1;11;1;4;140
31.12.2021;1;1;12;1;3;140
31.12.2021;1;1;13;0;0;140
31.12.2021;1;1;14;0;0;140
31.12.2021;1;1;15;1;15;140
31.12.2021;1;1;16;0;0;140
31.12.2021;1;1;17;0;0;140
31.12.2021;1;1;18;1;58;140
31.12.2021;1;1;19;1;28;140
31.12.2021;1;1;20;1;7;140
31.12.2021;1;1;21;1;4;140
31.12.2021;1;1;22;1;44;140
31.12.2021;1;1;23;1;28;140
31.12.2021;1;1;24;0;0;140
31.12.2021;1;1;25;1;2;140
31.12.2021;1;1;26;1;2;140
31.12.2021;1;1;27;1;14;140
31.12.2021;1;1;28;0;0;140
31.12.2021;1;1;29;1;11;140
31.12.2021;1;1;30;1;99;140
31.12.2021;1;1;31;1;8;140
31.12.2021;1;1;32;1;1114;140
31.12.2021;1;1;33;1;5;140
31.12.2021;1;1;34;1;7;140
31.12.2021;1;1;35;1;54;140
31.12.2021;1;1;36;1;12;140
31.12.2021;1;1;37;1;1;140
31.12.2021;1;1;38;0;0;140
31.12.2021;1;1;39;1;3;140
31.12.2021;1;1;40;1;4;140
31.12.2021;1;1;41;1;2;140
31.12.2021;1;1;42;0;0;140
31.12.2021;1;1;43;1;2;140
31.12.2021;1;1;44;1;8;140
31.12.2021;1;1;45;1;15;140
31.12.2021;1;1;46;1;1;140
31.12.2021;1;1;48;1;2;140
31.12.2021;1;1;49;0;0;140
31.12.2021;1;1;50;0;0;140
31.12.2021;1;1;51;0;0;140
31.12.2021;1;1;52;0;0;140
31.12.2021;1;1;53;0;0;140
31.12.2021;1;1;54;0;0;140
31.12.2021;1;1;55;1;8;140
31.12.2021;1;1;56;1;2;140
31.12.2021;1;1;57;1;2;140
31.12.2021;1;1;58;1;3;140
31.12.2021;1;1;59;0;0;140
31.12.2021;1;1;60;1;2;140
31.12.2021;1;1;61;0;0;140
31.12.2021;1;1;62;1;3;140
31.12.2021;1;1;63;1;1;140
31.12.2021;1;1;64;0;0;140
31.12.2021;1;1;65;1;2;140
31.12.2021;1;1;66;0;0;140
31.12.2021;1;1;67;0;0;140
31.12.2021;1;1;68;0;0;140
31.12.2021;1;1;69;1;9;140
31.12.2021;1;1;70;0;0;140
31.12.2021;1;1;71;0;0;140
31.12.2021;1;1;72;1;2;140
31.12.2021;1;1;73;0;0;140
31.12.2021;1;1;74;1;3;140
31.12.2021;1;1;75;0;0;140
31.12.2021;1;1;76;0;0;140
31.12.2021;1;1;77;1;17;140
31.12.2021;1;1;78;1;1;140
31.12.2021;1;1;79;1;1;140
31.12.2021;1;1;80;1;1;140
31.12.2021;1;1;81;1;4;140
31.12.2021;1;1;82;0;0;140
31.12.2021;1;1;83;1;1;140
31.12.2021;1;1;84;1;1;140
31.12.2021;1;1;85;1;1;140
31.12.2021;1;1;86;0;0;140
31.12.2021;1;1;87;0;0;140
31.12.2021;1;1;88;0;0;140
31.12.2021;1;1;90;1;19;140
31.12.2021;1;1;91;1;18;140
31.12.2021;1;1;92;1;4;140
31.12.2021;1;1;93;1;6;140
31.12.2021;1;1;94;1;1;140
31.12.2021;1;1;95;0;0;140
31.12.2021;1;1;96;1;423;140
31.12.2021;1;1;97;0;0;140
31.12.2021;1;1;98;0;0;140
31.12.2021;1;1;99;1;4;140
31.12.2021;1;1;100;0;0;140
31.12.2021;1;1;101;1;21;140
31.12.2021;1;1;102;0;0;140
31.12.2021;1;1;103;1;13;140
31.12.2021;1;1;104;1;1;140
31.12.2021;1;1;105;1;1;140
31.12.2021;1;1;106;0;0;140
31.12.2021;1;1;107;0;0;140
31.12.2021;1;1;108;0;0;140
31.12.2021;1;1;109;1;7;140
31.12.2021;1;1;110;1;12;140
31.12.2021;1;1;111;1;4;140
31.12.2021;1;1;112;1;7;140
31.12.2021;1;1;113;1;1;140
31.12.2021;1;1;114;1;6;140
31.12.2021;1;1;115;1;2;140
31.12.2021;1;1;116;1;23;140
31.12.2021;1;1;117;0;0;140
31.12.2021;1;1;118;0;0;140
31.12.2021;1;1;119;1;4;140
31.12.2021;1;1;120;1;2;140
31.12.2021;1;1;121;1;21;140
31.12.2021;1;1;123;1;4;140
31.12.2021;1;1;124;1;6;140
31.12.2021;1;1;125;1;5;140
31.12.2021;1;1;126;1;6;140
31.12.2021;1;1;127;1;4;140
31.12.2021;1;1;128;0;0;140
31.12.2021;1;1;129;1;118;140
31.12.2021;1;1;130;0;0;140
31.12.2021;1;1;131;0;0;140
31.12.2021;1;1;132;0;0;140
31.12.2021;1;1;133;0;0;140
31.12.2021;1;1;134;0;0;140
31.12.2021;1;1;135;1;1;140
31.12.2021;1;1;136;1;1;140
31.12.2021;1;1;137;1;4;140
31.12.2021;1;1;138;0;0;140
31.12.2021;1;1;139;0;0;140
31.12.2021;1;1;140;1;1;140
31.12.2021;1;1;141;0;0;140
31.12.2021;1;1;142;0;0;140
31.12.2021;1;1;143;0;0;140
31.12.2021;1;1;144;1;2;140
31.12.2021;1;1;145;1;3;140
31.12.2021;1;1;146;0;0;140
31.12.2021;1;1;147;1;2;140
31.12.2021;1;1;148;0;0;140
31.12.2021;1;1;149;0;0;140
31.12.2021;1;1;150;0;0;140
31.12.2021;1;1;151;0;0;140
31.12.2021;1;1;152;1;17;140
31.12.2021;1;1;153;1;1;140
31.12.2021;1;1;154;1;1;140
31.12.2021;1;1;155;1;1;140
31.12.2021;1;1;156;0;0;140
31.12.2021;1;1;157;0;0;140
31.12.2021;1;1;158;0;0;140
31.12.2021;1;1;159;0;0;140
31.12.2021;1;1;160;0;0;140
31.12.2021;1;1;161;0;0;140
31.12.2021;1;1;162;0;0;140
31.12.2021;1;1;163;1;1;140
31.12.2021;1;1;164;1;2;140
31.12.2021;1;1;165;0;0;140
31.12.2021;1;1;166;1;2;140
31.12.2021;1;1;167;0;0;140
