DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2018;1;1;1;1;1;148
31.12.2018;1;1;2;0;0;148
31.12.2018;1;1;3;0;0;148
31.12.2018;1;1;4;0;0;148
31.12.2018;1;1;5;1;2;148
31.12.2018;1;1;6;0;0;148
31.12.2018;1;1;7;0;0;148
31.12.2018;1;1;8;0;0;148
31.12.2018;1;1;9;0;0;148
31.12.2018;1;1;10;0;0;148
31.12.2018;1;1;11;1;3;148
31.12.2018;1;1;12;0;0;148
31.12.2018;1;1;13;0;0;148
31.12.2018;1;1;14;0;0;148
31.12.2018;1;1;15;1;35;148
31.12.2018;1;1;16;0;0;148
31.12.2018;1;1;18;1;11;148
31.12.2018;1;1;19;1;8;148
31.12.2018;1;1;20;1;1;148
31.12.2018;1;1;21;1;1;148
31.12.2018;1;1;22;1;5;148
31.12.2018;1;1;23;1;3;148
31.12.2018;1;1;24;0;0;148
31.12.2018;1;1;25;0;0;148
31.12.2018;1;1;26;0;0;148
31.12.2018;1;1;27;1;2;148
31.12.2018;1;1;28;0;0;148
31.12.2018;1;1;29;1;2;148
31.12.2018;1;1;30;1;15;148
31.12.2018;1;1;31;1;1;148
31.12.2018;1;1;32;1;364;148
31.12.2018;1;1;33;0;0;148
31.12.2018;1;1;34;1;1;148
31.12.2018;1;1;35;1;7;148
31.12.2018;1;1;36;1;2;148
31.12.2018;1;1;37;0;0;148
31.12.2018;1;1;38;0;0;148
31.12.2018;1;1;39;0;0;148
31.12.2018;1;1;40;0;0;148
31.12.2018;1;1;41;0;0;148
31.12.2018;1;1;42;0;0;148
31.12.2018;1;1;43;1;3;148
31.12.2018;1;1;44;1;8;148
31.12.2018;1;1;45;1;24;148
31.12.2018;1;1;46;0;0;148
31.12.2018;1;1;48;1;5;148
31.12.2018;1;1;49;1;4;148
31.12.2018;1;1;50;1;3;148
31.12.2018;1;1;51;0;0;148
31.12.2018;1;1;52;0;0;148
31.12.2018;1;1;53;0;0;148
31.12.2018;1;1;54;0;0;148
31.12.2018;1;1;55;1;1;148
31.12.2018;1;1;56;0;0;148
31.12.2018;1;1;57;0;0;148
31.12.2018;1;1;58;1;2;148
