;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;B3;B3. Zespół Kontroli Wewnętrznej;8.04.2021;1;1;24;150
1;3.0;;A.1.9 A-1090 Wien  Podmiot przeprowadzający badanie statutowego sprawozdania finansowego ;Audyt sprawozdania finansowego oraz sprawozdania na temat wypłacalności i kondycji finansowej przeprowadzony został przez PricewaterhouseCoopers Polska spółka z ograniczoną odpowiedzialnością Audyt sp. k. z siedzibą w Warszawie, przy ul. Polnej 11, spółkę wpisaną na listę podmiotów uprawnionych do badania sprawozdań finansowych pod numerem 144. W imieniu podmiotu uprawnionego badanie zostało przeprowadzone pod nadzorem kluczowego biegłego rewidenta Adama Celińskiego (numer w rejestrze 90033). PricewaterhouseCoopers Polska spółka z ograniczoną odpowiedzialnością Audyt sp. k. zostało wybrane na biegłego rewidenta Towarzystwa Uchwałą nr 5 Walnego Zgromadzenia z dnia 3 sierpnia 2020 roku. PricewaterhouseCoopers Polska spółka z ograniczoną odpowiedzialnością Audyt sp. k. oraz kluczowy biegły rewident przeprowadzający badanie są niezależni od Towarzystwa w sposób określony w art. 69 ustawy z dnia 11 maja 2017 r. o biegłych rewidentach, firmach audytorskich oraz nadzorze publicznym (Dz. U. z 2017 roku, poz. 1089);8.04.2021;1;1;24;150
2;31.0;37.0;E.6 B.8 Wszelkie inne informacje ;;8.04.2021;1;1;24;150
3;31.0;36.0;E.5 Niezgodność z minimalnym wymogiem kapitałowym i niezgodność z kapitałowym wymogiem wypłacalności;wypłacalności;8.04.2021;1;1;24;150
4;31.0;35.0;E.4 Różnice między formułą standardową a stosowanym modelem wewnętrznym;wewnętrznym;8.04.2021;1;1;24;150
5;31.0;34.0;E.3 Zastosowanie podmodułu ryzyka cen akcji opartego na duracji do obliczenia kapitałowego wymogu wypłacalności;wypłacalności;8.04.2021;1;1;24;150
6;31.0;33.0;E.2 Kapitałowy wymóg wypłacalności i minimalny wymóg kapitałowy;kapitałowy Zasady ogólne Kapitałowy wymóg wypłacalności Minimalny wymóg kapitałowy;8.04.2021;1;1;24;150
7;31.0;32.0;E.1 Środki własne;własne Zarządzanie kapitałem Informacja o strukturze kapitału Analiza kategorii kapitału (tiering) Uzgodnienie kapitału własnego do bilansu dla celów rachunkowości;8.04.2021;1;1;24;150
8;25.0;30.0;D.5 Wszelkie inne informacje;informacje;8.04.2021;1;1;24;150
9;25.0;29.0;D.4 Alternatywne metody wyceny;wyceny;8.04.2021;1;1;24;150
