;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;Podsumowanie;Podsumowanie Sprawozdanie o wypłacalności i kondycji finansowej na dzień 31 grudnia 2022 r. i za rok obrotowy kończący się tego dnia zostało sporządzone w celu wypełnienia wymogów art. 284 Ustawy o działalności ubezpieczeniowej i reasekuracyjnej z dnia 11 września 2015 r. (Dz.U. 2015 poz. 1844 ze zmianami, dalej „Ustawa o działalności ubezpieczeniowej i reasekuracyjnej”). Wymogi dotyczą ujawniania informacji publicznych w ramach systemu Wypłacalność II. Elementy ujawnienia odnoszą się do działalności i wyników operacyjnych, systemu zarządzania, profilu ryzyka, wyceny do celów wypłacalności oraz zarządzania kapitałem Unum Życie Towarzystwo Ubezpieczeń i Reasekuracji S.A. (dalej Unum Życie, Spółka). Unum Życie jest częścią Grupy Unum, która jest jednym z liderów w zakresie ochrony finansowej w Stanach Zjednoczonych i Wielkiej Brytanii. Portfolio Grupy Unum obejmuje grupowe oraz indywidualne ubezpieczenia ochronne zapewniające dochód w wypadku niezdolności do pracy, ubezpieczenia na życie, ubezpieczenia wypadkowe i zdrowotne. W 2022 r. Grupa Unum odnotowała przychody w wysokości 12,0 miliardów USD i przeznaczyła ponad 6,9 miliardów USD na wypłatę świadczeń klientom. W Polsce Spółka oferuje grupowe i indywidualne ubezpieczenia na życie o jednym z najszerszych na rynku zakresów ochrony, kierując się wyjątkową troską o klientów. Misją Spółki jest stałe pomaganie klientom w osiągnięciu bezpieczeństwa finansowego i spokoju ducha, poprzez ochronę wartości najważniejszych - życia i zdrowia. W 2022 r. Unum Życie utrzymało wysoką dynamikę przypisu składki brutto. Składka przypisana brutto za 2022 r. wyniosła 421 mln PLN, co w porównaniu do roku ubiegłego oznacza wzrost o 14%. Opierając swoją działalność na oferowaniu klientom długoterminowych ubezpieczeń indywidualnych oraz ubezpieczeń grupowych, kluczowym wskaźnikiem wiarygodności Spółki jest wartość wypłaconych klientom świadczeń. W 2022 r. Spółka wypłaciła 172 mln PLN odszkodowań i świadczeń netto, a wartość ta była wyższa od zeszłorocznej o 13%. Unum Życie utrzymuje wysoki poziom bezpieczeństwa środków powierzonych przez klientów, określany poprzez wskaźnik pokrycia kapitałowego wymogu wypłacalności (SCR) środkami własnymi. Wskaźnik ten na koniec 2022 r. wyniósł 177%, natomiast wskaźnik pokrycia minimalnego wymogu kapitałowego (MCR) środkami własnymi wyniósł 710%. Wskaźnik pokrycia kapitałowego wymogu wypłacalności SCR środkami własnymi na 31 grudnia 2022 r. uległ obniżeniu w porównaniu do 31 grudnia 2021 r. o 35 p.p. przede wszystkim z powodu wyższych stóp procentowych, co miało wpływ na zwiększenie ryzyka rynkowego oraz na spadek wyceny rynkowej posiadanych przez Spółkę obligacji Skarbu Państwa oraz gwarantowanych przez Skarb Państwa obligacji BGK. Wpływ na stabilną sytuację finansową Spółki ma także konsekwentna polityka inwestycyjna, opierająca się na inwestowaniu głównie w papiery dłużne gwarantowane przez Skarb Państwa. Przychody z lokat za rok 2022 wyniosły 37,7 mln PLN i były o 2,9 mln PLN niższe niż w poprzednim roku. Spadek przychodów z lokat w 2022 r. w porównaniu do 2021 r. wynika wyłącznie z jednorazowego ujęcia w przychodach z lokat w 2021 r. zysku ze sprzedaży obligacji w wysokości 6,8 mln PLN. Spółka odnotowała zysk netto za 2022 r. w wysokości 18 mln PLN. System zarządzania w Unum;31.12.2022;1;1;59;157
1;32.0;;E.1.1. Informacje na temat istotnych warunków głównych pozycji środków własnych posiadanych przez Spółkę;Spółkę W Tabeli 9 przedstawione zostały informacje dot. podstawowych środków własnych wykazanych przez Unum Życie na 31 grudnia 2022 r., wraz z informacją o wysokości środków własnych dopuszczonych na pokrycie wymogów kapitałowych (wartości w tysiącach PLN). Środki własne;31.12.2022;1;1;59;157
2;27.0;;D.2.1. Inne istotne informacje;informacje Należności z tytułu reasekuracji dla ubezpieczeń zdrowotnych o charakterze ubezpieczeń na życie wyniosły -0,5 mln PLN na datę bilansową. Należności z tytułu reasekuracji dla ubezpieczeń na życie wyniosły -13,5 mln PLN na datę bilansową. Informacje dotyczące należności od spółek celowych;31.12.2022;1;1;59;157
3;22.0;;C.5.3 Analiza wrażliwości istotnych ryzyk;ryzyk Unum Życie włącza do swojego systemu zarządzania ryzykiem operacyjnym przeprowadzanie testów warunków skrajnych i analizy scenariuszowej. Wyniki ostatnich scenariuszy nie wskazują na wymóg zwiększenia kapitałów dla ryzyka operacyjnego. C.6. Pozostałe istotne ryzyka;31.12.2022;1;1;59;157
4;22.0;;C.5.2 Praktyki w zakresie ograniczania i monitorowania istotnego ryzyka;ryzyka Unum Życie przyjęło jednolity system zarządzania ryzykiem operacyjnym, obejmujący identyfikację, ocenę, monitorowanie, definicję ról i odpowiedzialności za proces zarządzania tym ryzykiem, a także jednolitą kategoryzację ryzyk. Pomiar ryzyka operacyjnego w Unum Życie realizowany jest poprzez: proces samooceny ryzyka operacyjnego, analizy stworzonych dla wybranych ryzyk tzw. Kluczowych Wskaźników Ryzyka, monitoring wartości strat operacyjnych w relacji do poziomu kapitałów własnych, danych z kontroli i audytu wewnętrznego oraz wiedzy i doświadczeniu kierownictwa poszczególnych jednostek organizacyjnych. Wszystkie istotne ryzyka operacyjne znajdują się w obszarze zainteresowań Zarządu. Ryzyka te są oszacowane, do każdego z nich przypisany jest właściciel oraz określone są plany działania, mające na celu zmniejszenie ryzyka. Monitorowanie i raportowanie ryzyka operacyjnego realizowane jest w postaci przygotowania i analizy cyklicznych raportów dla Zarządu oraz lokalnego Komitetu ds. Zarządzania Ryzykiem. C.5.3 Analiza wrażliwości istotnych ryzyk;31.12.2022;1;1;59;157
5;22.0;;C.5.1 Istotne ekspozycje i koncentracje ryzyka;ryzyka Unum Życie posiada rejestr głównych ryzyk operacyjnych, a wśród nich kluczowe ryzyka operacyjne (wymienione poniżej) specyficzne dla Spółki. Ryzyka te mają przypisaną najwyższą kategorię ważności (tzn. wysoka). Zgodnie z wewnętrznymi przepisami poniższe ryzyka są co roku oceniane, niezależnie od rzeczywistych rezydualnych ekspozycji. �;31.12.2022;1;1;59;157
6;21.0;;C.4.3 Analiza wrażliwości istotnych ryzyk;ryzyk Unum Życie przeprowadziło testy warunków skrajnych. Spółka brała przy tym pod uwagę istotne i nagłe zmiany na rynkach finansowych i w zachowaniu ubezpieczających. W testach warunków skrajnych uwzględnia się terminy zobowiązań i możliwość likwidacji aktywów w różnych horyzontach czasowych, a także wpływ takich likwidacji na zrealizowane wartości. C.5. Ryzyko operacyjne;31.12.2022;1;1;59;157
7;21.0;;C.4.2 Praktyki w zakresie ograniczania i monitorowania istotnego ryzyka;ryzyka System zarządzania ryzykiem obejmuje zarządzanie ryzykiem płynności, które w odróżnieniu od pozostałych ryzyk opisanych w sekcji C, nie jest objęte wymogiem kapitałowym w ramach formuły standardowej SCR. Unum Życie zarządza tym ryzykiem poprzez utrzymanie wystarczającej ilość aktywów płynnych by zagwarantować długoterminową płynność. W bieżącej działalności inwestycyjnej Unum Życie uwzględnia aspekt zarządzania płynnością zgodnie z zasadą ostrożnego inwestora i lokuje środki pieniężne w instrumenty o wysokim poziomie bezpieczeństwa i płynności. Zarządzanie pozycją krótkoterminową odbywa się poprzez wdrożone procesy monitoringu codziennego ekspozycji w zakresie płynności, który bazuje na ustalonych limitach. Limity te określają w szczególności możliwość pokrycia przez Spółkę znanego i planowanego oraz istotnie wyższego niż zakładanego zapotrzebowania na środki pieniężne z tytułu bieżącej działalności ubezpieczeniowej. Unum Życie utrzymuje bezpieczny poziom gotówki na rachunkach bieżących gwarantujący pełną zdolność do pokrywania krótkoterminowych zobowiązań. Czynności podejmowane w zakresie prowadzonego monitoringu są na bieżąco weryfikowane w celu zapewnienia ich ciągłej skuteczności. W okresie sprawozdawczym nie miały miejsca istotne zmiany w technikach ograniczania ryzyka. C.4.3 Analiza wrażliwości istotnych ryzyk;31.12.2022;1;1;59;157
8;21.0;;C.4.1 Istotne ekspozycje i koncentracje ryzyka;ryzyka Zarządzanie płynnością jest jednym z kluczowych elementów planowania finansowego oraz podlega identyfikacji i ocenie w ramach procesu zarządzania aktywami i pasywami. Unum Życie zarządza płynnością zapewniając odpowiednie dopasowanie możliwości posiadanych środków do przepływów wynikających z zobowiązań. Ze względu na strukturę;31.12.2022;1;1;59;157
9;20.0;;C.3.3 Analiza wrażliwości istotnych ryzyk;ryzyk Ponieważ ekspozycja na ryzyko niewypłacalności kontrahenta nie jest istotna, Unum Życie nie przeprowadzało osobnych testów wrażliwości dla tego ryzyka. C.4. Ryzyko płynności;31.12.2022;1;1;59;157
