;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;29;;D.4.4 O;OCENA POZIOMU NIEPEWNOŚCI W ZAKRESIE ALTERNATYWNEJ WYCENY AKTYWÓW I ZOBOWIĄZAŃ;31.12.2020;1;1;62;161
1;29;;D.4.3 U;UDOKUMENTOWANIE ZAŁOŻEŃ LEŻĄCYCH U PODSTAW ALTERNATYWNEJ WYCENY;31.12.2020;1;1;62;161
2;29;;D.4.2 U;UZASADNIENIE STOSOWANIA ALTERNATYWNEJ METODY WYCENY;31.12.2020;1;1;62;161
3;29;;D.4.1 W;WSKAZANIE AKTYWÓW I ZOBOWIĄZAŃ DO KTÓRYCH STOSUJE SIĘ ALTERNATYWNE METODY WYCENY;31.12.2020;1;1;62;161
4;27;;D.2.5 S;STOSOWANIE ŚRODKÓW PRZEJŚCIOWYCH;31.12.2020;1;1;62;161
5;27;;D.2.4;D.2.4 W;31.12.2020;1;1;62;161
6;27;;D.2.3 Z;ZAŁOŻENIA;31.12.2020;1;1;62;161
7;27;;D.2.2 M;MARGINES RYZYKA;31.12.2020;1;1;62;161
8;27;;D.2.1 N;NAJLEPSZE OSZACOWANIE;31.12.2020;1;1;62;161
9;18;;C.1.9 C0109 ;Podejście oparte na średniej stawce podatkowej R0590;31.12.2020;1;1;62;161
10;12;;B.4.4 F;FUNKCJA ZGODNOŚCI Z PRZEPISAMI;31.12.2020;1;1;62;161
11;12;;B.4.3 O;OCENA EFEKTYWNOŚCI SYSTEMU KONTROLI WEWNĘTRZNEJ;31.12.2020;1;1;62;161
12;12;;B.4.2 O;ODPOWIEDZIALNOŚĆ I UPRAWNIENIA;31.12.2020;1;1;62;161
13;12;;B.4.1 Zasady ogólne....................................................................................................................... 37 B.4.2 Odpowiedzialność i uprawnienia .......................................................................................... 38 B.4.3 Ocena efektywności systemu kontroli wewnętrznej ............................................................. 39 B.4.4 Funkcja zgodności z przepisami ............................................................................................ 40;40 B.5;31.12.2020;1;1;62;161
14;10;;B.2.3 O;OCENA REPUTACJI;31.12.2020;1;1;62;161
15;10;;B.2.2 W;WYMOGI DOTYCZĄCE KOMPETENCJI;31.12.2020;1;1;62;161
16;10;;B.2.1 O;OGÓLNE STANDARDY ZARZĄDZANIA ZASOBAMI LUDZKIMI;31.12.2020;1;1;62;161
17;9;;B.1.4 Z;ZASADY DOTYCZĄCE WYNAGRADZANIA;31.12.2020;1;1;62;161
18;9;;B.1.3 I;INFORMACJA I ŚCIEŻKI RAPORTOWANIA;31.12.2020;1;1;62;161
19;9;;B.1.2 S;STRUKTURA ZARZĄDZANIA;31.12.2020;1;1;62;161
20;9;;B.1.1 Z;ZARZĄD I R;31.12.2020;1;1;62;161
