;ID_SEKCJA NADRZĘDNA;ID_SEKCJA;NAZWA_SEKCJI;TREŚĆ;DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;KOD ZAKLADU;ID_TAB
0;;;Podsumowanie SPRAWOZDANIE O WYPŁACALNOŚCI I KONDYCJI FINANSOWEJ NA DZIEŃ 31 GRUDNIA 2017 ROKU I ZA ROK OBROTOWY KOŃCZĄCY SIĘ TEGO DNIA Podsumowanie;Podsumowanie Podstawowym celem Sprawozdania o wypłacalności i kondycji finansowej jest ułatwienie odbiorcy zrozumienia prowadzonej przez Spółkę działalności, poprzez opisanie jej systemu zarządzania oraz pozycji kapitałowej, w tym metod i założeń użytych przy wyliczeniu tej pozycji. Integralną częścią Sprawozdania są formularze sprawozdawcze przedstawiające podstawowe mierniki finansowe, w tym kalkulację pokrycia kapitałowego wymogu wypłacalności środkami własnymi.;31.12.2017;1;1;50;164
1;36.0;;E.5.2 Niezgodność z kapitałowym wymogiem wypłacalności;wypłacalności Spółka pokrywa kapitałowy wymóg wypłacalności na dzień 31 grudnia 2017 roku i nie przewiduje problemów z pokryciem kapitałowego wymogu wypłacalności w okresie planistycznym.;31.12.2017;1;1;50;164
2;27.0;;D.2.7 Istotne linie biznesowe;biznesowe Ogólne zasady wyceny najlepszego oszacowania przedstawione są w rozdziale D.2.1 niniejszego Sprawozdania. Natomiast w tabeli 15 zaprezentowano komentarze do specyficznych dla danej linii biznesu podstaw, metod i założeń wyceny najlepszego oszacowania. 94;31.12.2017;1;1;50;164
3;27.0;;D.2.6 Korekty dopasowujące oraz środki przejściowe;przejściowe Korekty dopasowujące oraz z tytułu zmienności do odpowiedniej struktury terminowej stopy procentowej wolnej od ryzyka, a także środki przejściowe dotyczące stóp procentowych wolnych od ryzyka oraz dotyczące rezerw techniczno-ubezpieczeniowych, nie mają zastosowania przy ustalaniu rezerw techniczno-ubezpieczeniowych w TUnŻ „WARTA” S.A.;31.12.2017;1;1;50;164
4;27.0;;D.2.4 Uproszczenia przyjęte w kalkulacji rezerw techniczno-ubezpieczeniowych UPROSZCZENIA PRZYJĘTE W KALKULACJI NAJLEPSZEGO OSZACOWANIA;OSZACOWANIA W celu obliczenia najlepszego oszacowania, Spółka stosuje przede wszystkim metodę projekcji zdyskontowanych przepływów finansowych. Podejście uproszczone, polegające na przybliżeniu najlepszego oszacowania rezerwami na cele rachunkowości, zastosowano dla produktów niemodelowanych, salda należności-zobowiązań nieprzeterminowanych i rezerw dla polis nieaktywnych na dzień bilansowy. Ponadto, Spółka modeluje przepływy z tytułu indywidualnych umów dodatkowych za pomocą przemnażania przepływu z tytułu składki ubezpieczeniowej przez współczynniki realizacji. Konwersje na ubezpieczenie bezskładkowe są uwzględniane przez Spółkę w wyprowadzeniu założeń dotyczących poziomu rezygnacji z umów ubezpieczenia. W przepływach produktów związanych z UFK, Spółka zakłada stałą strategię inwestycyjną oraz proporcję alokacji składki. W produktach oszczędnościowych, ze względu na brak materialności, nie uwzględnia się zależności pomiędzy stopami rezygnacji z umów a stopą zwrotu z inwestycji. Modelowanie wartości opcji i gwarancji dla portfela produktów tradycyjnych z udziałem w zyskach opiera się o projekcję rezerw, w której założono brak mechanizmu udziału w zyskach. W rzeczywistości udział w zyskach jest konwertowany na sumę ubezpieczenia, tym samym powiększając rezerwę. Ponadto, udział w zysku jest wypłacany w momencie wypłaty świadczenia, a nie w momencie jego powstania, jak zakłada podejście Spółki. Ze względu na poziom wartości czasowej opcji i gwarancji, uproszczenie jest niematerialne. UPROSZCZENIA;31.12.2017;1;1;50;164
5;27.0;;D.2.2 Kwoty należne z tytułu umów reasekuracji w wartości najlepszego oszacowania;oszacowania Wartość najlepszego oszacowania kwot należnych z tytułu umów reasekuracji oblicza się na podstawie udziału reasekuratorów zgodnie z postanowieniami poszczególnych umów reasekuracyjnych.;31.12.2017;1;1;50;164
6;26.0;;D.1.1. niniejszego Sprawozdania. TABELA 13. REZERWY TECHNICZNO-UBEZPIECZENIOWE NA DZIEŃ 31 GRUDNIA 2017 ROKU * Wartości wg statutowych sprawozdań finansowych zostały zaprezentowane zgodnie z zasadami prezentacji obowiązującymi w bilansie ekonomicznym. ** W kolumnie „Reklasyfikacje” przedstawiono korekty należności i zobowiązań ubezpieczeniowych, rozpoznanych jako niewymagalne i ujmowanych w bilansie ekonomicznym w kalkulacji rezerw techniczno-ubezpieczeniowych. *** Pełny formularz S.02.01 zgodny z rozporządzeniem KE 2015/2452 (z późn. zmianami) stanowi załącznik nr 1 do niniejszego Sprawozdania. 90 D Wycena do celów wypłacalności SPRAWOZDANIE O WYPŁACALNOŚCI I KONDYCJI FINANSOWEJ NA DZIEŃ 31 GRUDNIA 2017 ROKU I ZA ROK OBROTOWY KOŃCZĄCY SIĘ TEGO DNIA;DNIA Najlepsze oszacowanie, będące podstawowym składnikiem rezerw dla celów wypłacalności, obejmuje łącznie najlepsze oszacowanie rezerw szkodowych oraz pozostałych rezerw techniczno-ubezpieczeniowych w ujęciu brutto, jak również uwzględnia niewymagalne (bieżące) zobowiązania i należności ubezpieczeniowe.;31.12.2017;1;1;50;164
7;11.0;;B.3.3 Własna Ocena Ryzyka i Wypłacalności;Wypłacalności W ramach systemu zarządzania ryzykiem Spółka przeprowadza Własną Ocenę Ryzyka i Wypłacalności, która obejmuje:;31.12.2017;1;1;50;164
8;10.0;;B.2.2 Proces oceny kompetencji i reputacji OCENA KOMPETENCJI I REPUTACJI NA ETAPIE REKRUTACJI;REKRUTACJI Polityka rekrutacji pracowników, w tym na stanowiska odpowiedzialne za nadzorowanie funkcji kluczowych, zakłada, że podstawowym kryterium selekcji kandydatów jest zgodność z wymaganym profilem stanowiska pod względem kompetencji, doświadczenia, wiedzy, motywacji, prawości i uczciwości. Wymagania dotyczące wykształcenia, wiedzy w określonych obszarach, doświadczenia oraz umiejętności niezbędnych do poprawnego wykonywania zadań na określonym stanowisku zawarte są w kwestionariuszu opisu stanowiska.;31.12.2017;1;1;50;164
9;9.0;;B.1.5 Ocena adekwatności systemu zarządzania Przegląd funkcjonowania systemu zarządzania w Spółce jest przeprowadzany w czwartym kwartale każdego roku i obejmuje swoim zakresem takie obszary, jak: • struktura organizacyjna, • system przekazywania / obiegu informacji, • funkcja zarządzania ryzykiem oraz ciągłość działania, • funkcja zgodności z przepisami, • funkcja audytu wewnętrznego, • funkcja aktuarialna, • outsourcing, • zasady w zakresie spełniania wymogów dotyczących kompetencji i reputacji, • system kontroli wewnętrznej. Wybrane komórki organizacyjne Spółki przeprowadzają przegląd poszczególnych elementów systemu zarządzania. W wyniku analizy przeprowadzonej w 2017 roku nie wskazano na potrzebę wprowadzania istotnych zmian w systemie zarządzania Spółki. Raport z tego przeglądu podlegał zatwierdzeniu przez Zarząd Spółki. Departament Audytu Wewnętrznego dokonuje niezależnej oceny systemu kontroli wewnętrznej w Spółce. W 2017 roku nie zidentyfikowano obszarów działalności Spółki wymagających natychmiastowych działań naprawczych. Wyniki oceny są przedstawiane Zarządowi Spółki, a następnie Komitetowi Audytu Spółki. Biorąc pod uwagę zarówno powyższe informacje, jak i wyniki regularnego raportowania innych funkcji kluczowych, wyniki badania sprawozdań finansowych i raporty pokontrolne podmiotów zewnętrznych, Zarząd Spółki ocenia, że system zarządzania, w tym system kontroli wewnętrznej, jest adekwatny do skali i złożoności prowadzonej działalności i pozwala na skuteczną identyfikację i zarządzanie ryzykiem mogącym wpłynąć na osiągnięcie celów biznesowych Spółki. Rada Nadzorcza Spółki pozytywnie oceniła system zarządzania oraz adekwatność, efektywność i skuteczność systemu kontroli wewnętrznej funkcjonujących w Spółce. B.2 Wymogi dotyczące kompetencji i reputacji B.2.1 Polityka w zakresie kompetencji i reputacji W Spółce została wdrożona Polityka TUnŻ „WARTA” S.A. w zakresie spełniania wymogów dotyczących kompetencji i reputacji przez osoby, które faktycznie zarządzają Spółką lub pełnią inne kluczowe funkcje. Polityka została zatwierdzona przez Nadzwyczajne Walne Zgromadzenie Akcjonariuszy Spółki.;Spółki. Określa ona kryteria, które muszą spełniać członkowie Zarządu, członkowie Rady Nadzorczej oraz pracownicy nadzorujący funkcje kluczowe Spółki. Celem Polityki jest zapewnienie ciągłego spełniania wymogów dotyczących kompetencji i reputacji – w rozumieniu art. 42 Dyrektywy Wypłacalność 2 – przez osoby, które faktycznie zarządzają Spółką lub pełnią inne kluczowe funkcje.;31.12.2017;1;1;50;164
