ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,ID_SEKCJA NADRZĘDNA,ID_SEKCJA,NAZWA_SEKCJI,LP.,TREŚĆ
38,2023-01-01,7,1,6,10,char,2,char
74,2023-01-02,2,2,9,8,char,3,char
75,2023-01-03,1,10,7,8,char,9,char
14,2023-01-04,6,7,9,6,char,1,char
50,2023-01-05,4,4,10,7,char,5,char
4,2023-01-06,4,10,2,6,char,10,char
27,2023-01-07,6,9,6,7,char,3,char
86,2023-01-08,2,2,3,3,char,7,char
24,2023-01-09,7,4,2,10,char,10,char
2,2023-01-10,4,5,4,5,char,4,char
60,2023-01-11,10,6,1,3,char,8,char
78,2023-01-12,7,7,10,10,char,10,char
97,2023-01-13,8,8,4,4,char,1,char
37,2023-01-14,4,6,3,1,char,9,char
35,2023-01-15,7,10,6,10,char,10,char
95,2023-01-16,7,8,5,5,char,10,char
11,2023-01-17,7,9,6,9,char,9,char
97,2023-01-18,2,7,7,7,char,7,char
15,2023-01-19,9,7,3,10,char,8,char
12,2023-01-20,10,9,7,3,char,10,char
46,2023-01-21,3,4,10,2,char,3,char
99,2023-01-22,8,8,6,3,char,8,char
65,2023-01-23,8,6,5,7,char,9,char
46,2023-01-24,3,2,2,1,char,8,char
51,2023-01-25,8,4,4,9,char,9,char
34,2023-01-26,7,5,8,2,char,6,char
2,2023-01-27,3,6,6,7,char,4,char
19,2023-01-28,6,4,2,6,char,10,char
37,2023-01-29,1,5,6,8,char,3,char
19,2023-01-30,6,7,10,9,char,8,char
77,2023-01-31,6,2,5,5,char,10,char
