ID_TAB,DATA SFCR,WERSJA SFCR,KOD ZAKŁADU,FORMULARZ,WIERSZ,KOLUMNA,TRZECI WYMIAR KRAJ,WARTOŚĆ
98,2023-01-01,5,1,char,char,char,char,96.5063138000889
44,2023-01-02,4,2,char,char,char,char,34.59307760127035
69,2023-01-03,2,6,char,char,char,char,52.13032168668649
49,2023-01-04,9,10,char,char,char,char,37.45667392616098
92,2023-01-05,6,8,char,char,char,char,17.102827871583653
24,2023-01-06,8,6,char,char,char,char,28.721447578008764
73,2023-01-07,8,3,char,char,char,char,4.269592945990354
30,2023-01-08,8,2,char,char,char,char,37.39614726125476
11,2023-01-09,4,5,char,char,char,char,14.740418431082416
24,2023-01-10,5,9,char,char,char,char,63.363771529391855
88,2023-01-11,7,8,char,char,char,char,25.89114678096102
19,2023-01-12,3,9,char,char,char,char,32.77173166780532
29,2023-01-13,1,4,char,char,char,char,20.880725835693124
54,2023-01-14,2,8,char,char,char,char,18.53158686967275
82,2023-01-15,9,8,char,char,char,char,7.968943222816139
17,2023-01-16,5,9,char,char,char,char,5.872688472885121
47,2023-01-17,5,3,char,char,char,char,36.00994759544549
6,2023-01-18,2,1,char,char,char,char,68.99708606036144
25,2023-01-19,4,10,char,char,char,char,50.00003766130478
95,2023-01-20,8,4,char,char,char,char,76.23700956358347
25,2023-01-21,9,3,char,char,char,char,74.05000850412131
88,2023-01-22,5,5,char,char,char,char,2.31700111037438
76,2023-01-23,8,3,char,char,char,char,5.490363527478717
54,2023-01-24,7,1,char,char,char,char,97.38406210525854
35,2023-01-25,6,7,char,char,char,char,95.96478100616538
2,2023-01-26,6,5,char,char,char,char,78.13165334863797
69,2023-01-27,1,3,char,char,char,char,84.76709206376854
73,2023-01-28,9,6,char,char,char,char,85.77532651791944
5,2023-01-29,1,2,char,char,char,char,60.625392183860725
76,2023-01-30,4,3,char,char,char,char,4.404602159867862
33,2023-01-31,2,3,char,char,char,char,50.14168741696249
