DZIAŁ,KOD ,NAZWA ZAKŁADU,KOD LEI ZAKŁADU,LINK DO STRONY ZAKŁADU
1,10,NATIONALE-NEDERLANDEN TUnŻ S.A.,259400B0G3LJVFVZS942,www.nn.pl
1,11,TU ALLIANZ ŻYCIE POLSKA S.A.,259400IBCICD0KY7ZW46,www.allianz.pl
1,24,UNIQA TU na ŻYCIE S.A.,259400FX3J0R7A6MU186,www.uniqa.pl
1,27,PKO ŻYCIE TU S.A.,259400TWCMDKMV6KYT84,www.pkoubezpieczenia.pl
1,28,PZU ŻYCIE SA,549300TNSHGVU2UXO005,www.pzu.pl
1,42,TUW REJENT-LIFE,259400OH5X7X6KCKRD96,www.rejentlife.com.pl
1,49,STUnŻ ERGO HESTIA SA,259400U4BI8QGN8SLJ29,www.ergohestia.pl
1,50,TUnŻ WARTA S.A.,529900VTL1PSGPCZ6Q28,www.warta.pl
1,53,TU INTER-ŻYCIE POLSKA S.A.,259400PVJDKZ8V4XFJ71,www.interpolska.pl
1,55,COMPENSA TU na ŻYCIE S.A. Vienna Insurance Group,259400JP02FIWJVBWH48,www.compensa.pl
1,56,GENERALI ŻYCIE T.U. S.A.,259400MI3CFR0KT4CB73,www.generali.pl
1,57,TUnŻ CARDIF POLSKA S.A.,213800CLFT1YGUV9SW09,www.cardif.pl
1,59,UNUM ŻYCIE TUiR S.A.,259400UXP7KU8JKU2J72,www.unum.pl
1,62,VIENNA LIFE TU na ŻYCIE S.A. Vienna Insurance Group,259400B863WMC70UMI60,www.viennalife.pl
1,68,SALTUS TU ŻYCIE SA,259400EWP7QTOKNKAZ46,www.saltus.pl
1,69,AEGON TU na ŻYCIE S.A.,259400V1O5VA6Q1W6M65,www.aegon.pl
1,80,SIGNAL IDUNA ŻYCIE POLSKA TU S.A.,259400B9SY86NYVXLX26,www.signal-iduna.pl
1,82,TU na ŻYCIE EUROPA S.A.,2594004GSZRMBSGF7886,www.tueuropa.pl
1,93,OPEN LIFE TU ŻYCIE S.A.,259400MNYUI0WSI1WU07,www.openlife.pl
1,95,SANTANDER ALLIANZ TU na ŻYCIE S.A.,2138005KUPFMMPBEOZ70,www.santander.allianz.pl
1,1209,POCZTOWE TUnŻ S.A.,2594000AHJEYP8FJ1O21,www.pocztowenazycie.pl 
1,1431,POLSKI GAZ TUW na ŻYCIE,259400ZJ1NS8P8UVI755,www.polskigaztuw.pl
1,1448,CA ŻYCIE TU S.A.,259400BVOLY75E7L2G05,www.ca-ubezpieczenia.pl
2,6,PZU SA,QLPCKOOKVX32FUELX240,www.pzu.pl
2,8,COMPENSA TU S.A. Vienna Insurance Group,259400LUPWM9VS8E5M86,www.compensa.pl
2,12,TU INTER POLSKA S.A.,259400437TCRDB7RJ612,www.interpolska.pl
2,16,STU ERGO HESTIA SA,259400GGL5VECMUS2X04,www.ergohestia.pl
2,17,KUKE S.A.,2594004SBASDDT1AO432,www.kuke.com.pl
2,21,INTERRISK TU S.A. Vienna Insurance Group,259400PLLK80RTTNTX09,www.interrisk.pl
2,22,WIENER TU S.A. Vienna Insurance Group,2594005LQ77Y1YH2JZ49,www.wiener.pl
2,23,TUW TUW,259400XFHD3AZH1D8X35,www.tuw.pl
2,29,TUiR WARTA S.A.,529900H4WZAK60DYKH87,www.warta.pl
2,30,TUW-CUPRUM,259400VVKIW59B74SL60,www.tuw-cuprum.pl
2,37,TU EUROPA S.A.,259400KLVP0JONUXXV45,www.tueuropa.pl
2,41,SALTUS TUW,259400SKAQIVTKIH6E75,www.saltus.pl
2,44,PARTNER TUiR S.A.,2594000WLJ13ESKASA93,www.partnertuir.pl
2,45,TUiR ALLIANZ POLSKA S.A.,259400MDL4OD6BLVIB72,www.allianz.pl
2,52,PTR S.A.,2594008USOEILJJGOK51,www.polishre.com
2,65,GENERALI T.U. S.A.,2594002437UJ8H2KIA98,www.generali.pl
2,81,SIGNAL IDUNA POLSKA TU S.A.,25940051LJ87Q7EBZT23,www.signal-iduna.pl
2,83,LINK4 TU S.A.,2594001JSECH6MFMMV96,www.link4.pl
2,84,AGRO UBEZPIECZENIA TUW,259400K9O8B6E9TWQI87,www.agroubezpieczenia.pl
2,85,TU EULER HERMES S.A.,259400UNFL1GUH63DE55,www.allianz-trade.com
2,87,TUZ TUW,259400DTQXBX78Q0IW12,www.tuz.pl
2,92,UNIQA TU S.A.,259400NNS5ISLPJP7921,www.uniqa.pl
2,94,SANTANDER ALLIANZ TU S.A.,213800IHQIYLN4HKER16,www.santander.allianz.pl
2,958,TU ZDROWIE S.A.,2594002G3LFB8SI18N62,www.tuzdrowie.pl
2,1203,CREDIT AGRICOLE TU S.A.,259400IDRH0AFY9CPR67,www.ca-ubezpieczenia.pl
2,1220,PKO TU S.A.,259400L7A6OTQVPR5142,www.pkoubezpieczenia.pl
2,1245,TUW PZUW,259400OXGGIASU8WOO21,www.tuwpzuw.pl
2,1264,NATIONALE-NEDERLANDEN TU S.A.,25940098WUP2IVVEJ498,www.nn.pl
2,1265,POLSKI GAZ TUW,25940080MQ87ZM82JK66,www.polskigaztuw.pl
